538912050016413, ADVANTAN, ADVANTAN, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 15 G, BYP
538912050012713, ADVANTAN, ADVANTAN, NOT FOUND, 1 MG/G LOCAO CREMOSA CT BG AL X 20 G, BYP
538912050012613, ADVANTAN, ADVANTAN, NOT FOUND, 1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML, BYP
538912050012913, ANDROCUR, ANDROCUR, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, BYP
538912050012813, ANDROCUR, ANDROCUR, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 20, BYP
538900301138411, AROVIT, AROVIT, NOT FOUND, 150000 UI/ML SOL OR CT FR VD AMB CGT X 20ML, BYP
538900303157413, AROVIT, AROVIT, NOT FOUND, 300000 UI/ML SOL INJ CX 25 AMP VD AMB X 1ML, BYP
538900302118414, AROVIT, AROVIT, NOT FOUND, 50000 UI DRG CT BL AL PLAS AMB X 30, BYP
538912050013413, AVALOX, AVALOX, NOT FOUND, 1.6 MG / ML SOL INJ ENV AL BOLS PLAS X 250 ML , BYP
538912050013213, AVALOX, AVALOX, NOT FOUND, 400 MG COM REV CT BL AL / AL X 5, BYP
538912050013313, AVALOX, AVALOX, NOT FOUND, 400 MG COM REV CT BL AL / AL X 7, BYP
538912020008702, ALLURENE, ALLURENE, NOT FOUND, 2 MG COM CT BL AL PLAS VERDE X 168, BYP
538912020009102, ALLURENE, ALLURENE, NOT FOUND, 2 MG COM CT ENV BL AL PLAS VERDE X 168, BYP
538912020008602, ALLURENE, ALLURENE, NOT FOUND, 2 MG COM CT BL AL PLAS VERDE X 28, BYP
538912020009002, ALLURENE, ALLURENE, NOT FOUND, 2 MG COM CT ENV BL AL PLAS VERDE X 28, BYP
538912020008802, ALLURENE, ALLURENE, NOT FOUND, 2 MG COM CT ENV BL AL PLAS VERDE X 84, BYP
538912020008902, ALLURENE, ALLURENE, NOT FOUND, 2 MG COM CT BL AL PLAS VERDE X 84, BYP
538901901112314, ANGELIQ, ANGELIQ, NOT FOUND, 1 MG + 2 MG COM REV CT BL AL PVC X 28, BYP
538901001111311, AVADEN, AVADEN, NOT FOUND, 1 MG COM REV / 1 MG + 0.025 MG COM REV CT ENV BL CALEND X 28, BYP
538912060017613, ADALAT, ADALAT, NOT FOUND, 10 MG COM REV CT BL AL/PLAST AMB OPC X 30, BYP
538912060016913, ADALAT, ADALAT, NOT FOUND, 10 MG CAP GEL CT BL AL/AL X 60, BYP
538912060017013, ADALAT OROS, ADALAT OROS, NOT FOUND, 20 MG COM CT BL AL/AL X 15, BYP
538912060017113, ADALAT OROS, ADALAT OROS, NOT FOUND, 20 MG COM CT BL AL/AL X 30, BYP
538912060017713, ADALAT RETARD, ADALAT RETARD, NOT FOUND, 20 MG COM REV CT BL AL/PLAST AMB OPC X 30, BYP
538912060017203, ADALAT OROS, ADALAT OROS, NOT FOUND, 30 MG COM CT BL AL/AL X 15, BYP
538912060017303, ADALAT OROS, ADALAT OROS, NOT FOUND, 30 MG COM CT BL AL/AL X 30, BYP
538912060017413, ADALAT OROS, ADALAT OROS, NOT FOUND, 60 MG COM CT BL AL/AL X 15, BYP
538912060017513, ADALAT OROS, ADALAT OROS, NOT FOUND, 60 MG COM CT BL AL/AL X 30, BYP
538912090019003, AROVIT VITA, AROVIT VITA, NOT FOUND, 150000 UI/ML SOL OR CT FR VD AMB CGT X 20ML, BYP
538912090018903, AROVIT VITA, AROVIT VITA, NOT FOUND, 300000 UI/ML SOL INJ CX 25 AMP VD AMB X 1ML , BYP
538912050013013, ASPIRINA PREVENT, ASPIRINA PREVENT, NOT FOUND, 100 MG COM REV CT BL AL / AL X 30, BYP
538912050013113, ASPIRINA PREVENT, ASPIRINA PREVENT, NOT FOUND, 300 MG COM REV CT BL AL / AL X 30, BYP
538902106138315, ASPIRINA, ASPIRINA, NOT FOUND, 500 MG COM EFERV CT ENV AL PE X 100, BYP
538902102116317, ASPIRINA, ASPIRINA, NOT FOUND, 500 MG COM CT BL AL / AL X 100, BYP
538902105115311, ASPIRINA, ASPIRINA, NOT FOUND, 500 MG COM CT BL AL PVC / ACLAR X 100, BYP
538902101111311, ASPIRINA, ASPIRINA, NOT FOUND, 500 MG COM CT BL AL PVC / ACLAR X 20, BYP
538902104119313, ASPIRINA, ASPIRINA, NOT FOUND, 500 MG COM CT BL AL PVC / PVDC X 240, BYP
538902103112315, ASPIRINA, ASPIRINA, NOT FOUND, 500 MG COM CT BL AL PVC / ACLAR X 96, BYP
515600311112410, ASPIRINA, ASPIRINA, NOT FOUND, PREVENT 100 MG 2 BL X 15 COMP, BYP
515600310116315, ASPIRINA, ASPIRINA, NOT FOUND, PREVENT 300 MG 3 BL X 10 COMP, BYP
515614060009403, ASPIRINA C EFERVESC, ASPIRINA C EFERVESC, NOT FOUND, 400 MG + 240 MG COM EFERV CT 5 ENV AL POLIET X 2 , BYP
515600306135424, ASPIRINA, ASPIRINA, NOT FOUND, 400 MG + 240 MG COM EFERV CT 50 ENV AL POLIET X 2, BYP
515612030010003, ASPIRINA C EFERVESC, ASPIRINA C EFERVESC, NOT FOUND, 400 MG / 240 MG COM EFEV CT 50 ENV AL POLIET X 2 , BYP
515600305139426, ASPIRINA, ASPIRINA, NOT FOUND, 400 MG + 240 MG COM EFERV CT 10 ENV AL POLIET X 2, BYP
515601901134313, ASPIRINA C EFERVESC, ASPIRINA C EFERVESC, NOT FOUND, 400 MG + 240 MG COM EFERV CT 25 ENV AL POLIET X 2, BYP
515600304116422, ASPIRINA, ASPIRINA, NOT FOUND, BUFFERED 25 BL X 4 COMP, BYP
515600313115311, ASPIRINA, ASPIRINA, NOT FOUND, 500 MG COM CT BL AL PVC/ACLAR X 4 (EMB MULT), BYP
538912050013513, AZELAN, AZELAN, NOT FOUND, 150 MG/G GEL CT BG AL X 15 G, BYP
538912050013613, AZELAN, AZELAN, NOT FOUND, 150 MG/G GEL CT BG AL X 30 G, BYP
538912050012513, AZELAN, AZELAN, NOT FOUND, 200 MG/G CREM DERM CT BG AL X 30 G, BYP
