538912020009303; BAYCUTEN N; BAYCUTEN N; NOT FOUND; 10 MG/G + 0.443 MG/G CREM DERM CT BG AL X 40 G; BYP
538912050013713; BERLISON; BERLISON; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 15 G ; BYP
538912050013913; BERLISON; BERLISON; NOT FOUND; 10 MG/G POM DERM CT BG AL X 15 G; BYP
538912050013813; BERLISON; BERLISON; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 30 G; BYP
538912050014013; BERLISON; BERLISON; NOT FOUND; 10 MG/G POM DERM CT BG AL X 30 G; BYP
538902302115314; BINOTAL; BINOTAL; NOT FOUND; 1000 MG COM CT STR X 14; BYP
538902303111312; BINOTAL; BINOTAL; NOT FOUND; 1000 MG COM CT STR X 21; BYP
538902301119316; BINOTAL; BINOTAL; NOT FOUND; 500 MG COM CT STR X 14; BYP
538902304118310; BINOTAL; BINOTAL; NOT FOUND; 500 MG COM CT STR X 21; BYP
538912040011712; BETAFERON; BETAFERON; NOT FOUND; 9.6 MUI PO LIOF INJ CT 15 CT 1 FA VD INC + 1 SER VD INC DIL X 1.2 ML + ADAP COM AGULHA +  2 ENV LENCO; BYP
538900801114317; BONEFÓS; BONEFOS; NOT FOUND; 400 MG CAP GEL DURA CT FR PLAS POLIET OPC X 30; BYP
538900803151317; BONEFÓS; BONEFOS; NOT FOUND; 60 MG/ML SOL INJ CT AMP VD INC X 25 ML; BYP
538900802153316; BONEFÓS; BONEFOS; NOT FOUND; 60 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; BYP
538900804113311; BONEFÓS; BONEFOS; NOT FOUND; 800 MG COM REV CT BL AL PLAS INC X 60; BYP
538900401116411; BENERVA; BENERVA; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 30; BYP
538912120021013; BI-NERISONA; BI NERISONA; NOT FOUND; 1.0 MG + 10 MG CREAM DERM CT BG AL X 15 G; BYP
