538912050012213, CLIMENE, CLIMENE, NOT FOUND, 2 MG DRG / 2 MG + 1 MG DRG CT BL CALEND X 11 + 10, BYP
538912050011814, CLIANE, CLIANE, NOT FOUND, 2 MG + 1 MG COM REV CT BL AL PLAS INC X 28, BYP
538900601158310, CAMPATH, CAMPATH, NOT FOUND, 30 MG/ML SOL INJ CT 3 FA VD INC X 1 ML , BYP
538902202110418, CAFIASPIRINA, CAFIASPIRINA, NOT FOUND, 650 MG + 65 MG COM CT BL AL/AL X 100, BYP
538902201114411, CAFIASPIRINA, CAFIASPIRINA, NOT FOUND, 650 MG + 65 MG COM CT BL AL/AL X 20, BYP
515601704118315, CIPRO XR, CIPRO XR, NOT FOUND, 1000 MG COM REV MULT LIB PROL CT BL AL PLAS INC X 3, BYP
515601701119310, CIPRO XR, CIPRO XR, NOT FOUND, 1000 MG COM REV MULT LIB PROL CT BL AL PLAS INC X 7, BYP
538901702152316, CIPRO, CIPRO, NOT FOUND, 0.2% SOL INJ ENV AL BOLS PO X 100 ML ( REST HOSP), BYP
538901703159314, CIPRO, CIPRO, NOT FOUND, 0.2% SOL INJ ENV AL BOLS PO X 200 ML (REST HOSP), BYP
515601001117412, CIPRO, CIPRO, NOT FOUND, 250 MG COM REV CT 2 BL AL PLAS INC X 7, BYP
515601002113410, CIPRO, CIPRO, NOT FOUND, 250 MG COM REV CT BL AL PLAS INC X 6 , BYP
538901802114319, CIPRO XR, CIPRO XR, NOT FOUND, 500 MG COM REV MULT LIB PROL CT BL AL PLAS (PP) INC X 3, BYP
538901801118310, CIPRO XR, CIPRO XR, NOT FOUND, 500 MG COM REV MULT LIB PROL V CT BL AL PLAS (PP) INC X 7, BYP
538901704112311, CIPRO, CIPRO, NOT FOUND, 250 MG COM REV CT BL AL PLAS (PP) INC X 14, BYP
538901705119311, CIPRO, CIPRO, NOT FOUND, 250 MG COM REV CT BL AL PLAS (PP) INC X 6, BYP
515601003111411, CIPRO, CIPRO, NOT FOUND, 500 MG COM REV CT 2 BL AL PLAS INC X 7, BYP
515601702115319, CIPRO XR, CIPRO XR, NOT FOUND, 500 MG COM REV MULT LIB PROL CT BL AL PLAS INC X 3, BYP
515601004116417, CIPRO, CIPRO, NOT FOUND, 500 MG COM REV CT 50 BL AL PLAS INC X 1 (REST HOSP), BYP
515601005112415, CIPRO, CIPRO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6 , BYP
515601703111317, CIPRO XR, CIPRO XR, NOT FOUND, 500 MG COM REV MULT LIB PROL CT BL AL PLAS INC X 7, BYP
538901804117315, CIPRO XR, CIPRO XR, NOT FOUND, 1000 MG COM REV MULT LIB PROL CT BL AL PLAS (PP) INC X 3, BYP
538901803110317, CIPRO XR, CIPRO XR, NOT FOUND, 1000 MG COM REV MULT LIB PROL CT BL AL PLAS (PP) INC X 7, BYP
538901706115318, CIPRO, CIPRO, NOT FOUND, 500 MG COM REV CT BL AL PLAS (PP) INC X 14, BYP
538901707111316, CIPRO, CIPRO, NOT FOUND, 500 MG COM REV CT BL AL PLAS (PP) INC X 50, BYP
538901701113317, CIPRO, CIPRO, NOT FOUND, 500 MG COM REV CT BL AL PLAS (PP) INC X 6, BYP
515600902161413, CANESTEN, CANESTEN, NOT FOUND, 10 MG /G CREM DERM CT BG AL X 20 G, BYP
515600903176414, CANESTEN, CANESTEN, NOT FOUND, 1% SOL TOP CT FR PLAST OPC X 30 ML, BYP
515600904172315, CANESTEN, CANESTEN, NOT FOUND, 1% SOL TOP CT FR PLAST OPC GOT X 30 ML, BYP
538912050014113, CICLOPRIMOGYNA, CICLOPRIMOGYNA, NOT FOUND, 2 MG DRG / 2 MG + 0.25 MG DRG CT BL AL PLAS INC X 11 + 10, BYP
