532701401117419; VENLIFT OD; VENLIFT OD; NOT FOUND; 150 MG CAP GEL DURA BL AL PVC X 14; TNT
532713120016603; VENLIFT OD; VENLIFT OD; NOT FOUND; 150 MG CAP GEL DURA CT BL AL AL X 30; TNT
532701403111418; VENLIFT OD; VENLIFT OD; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL AL X 14; TNT
532713120016403; VENLIFT OD; VENLIFT OD; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL AL X 30; TNT
532701404116413; VENLIFT OD; VENLIFT OD; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL AL X 7; TNT
532701402113417; VENLIFT OD; VENLIFT OD; NOT FOUND; 75 MG CAP GEL DURA BL AL PVC X 14; TNT
532713120016503; VENLIFT OD; VENLIFT OD; NOT FOUND; 75 MG CAP GEL DURA CT BL AL AL X 30; TNT
532712120014906; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 + 12.5 COM REV CT BL AL/AL X 14; TNT
532712120015106; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 12.5 COM REV CT BL AL/AL X 14; TNT
532712120015006; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 + 12.5 COM REV CT BL AL/AL X 28; TNT
532712120015206; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 12.5 COM REV CT BL AL/AL X 28; TNT
532712120015306; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 25 COM REV CT BL AL/AL X 28; TNT
532712120014406; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 + 12.5 COM REV CT BL AL/AL X 30; TNT
532712120014506; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 12.5 COM REV CT BL AL/AL X 30; TNT
532712120014606; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 25 COM REV CT BL AL/AL X 30; TNT
532712120014706; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 + 12.5 COM REV CT BL AL/AL X 30; TNT
532712120014806; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 + 25 COM REV CT BL AL/AL X 30; TNT
