1067500650094; CLORCIN-PED; CLORCIN PED; NOT FOUND; 250 MG/5 ML PO PREP EXTEMP CT 01 FR VD AMB X 100 ML + SER DOS; STF
1067500650132; CLORCIN-PED; CLORCIN PED; NOT FOUND; 375 MG/5 ML SUSP CX FR VD 100 ML; STF
1067500160062; CETONIL; CETONIL; NOT FOUND; SHAMPOO 20 MG/ML SOL TOP CX FR 100 ML; STF
1067500160089; CETONIL; CETONIL; NOT FOUND; CREME 20 MG/G TP DERM CX BISN 30 G; STF
1067500160046; CETONIL; CETONIL; NOT FOUND; 200 MG/COMP REV CX STRIP 10 COMP REV; STF
1067500260032; CALCI-PED; CALCI PED; NOT FOUND; SUS OR CT FR VD AMB X 250 ML; STF
1067500690037; CLINDOXYL; CLINDOXYL; NOT FOUND; 1% + 5% GEL CT BG AL PLAS TRANS X 30 G; STF
1067500690010; CLINDOXYL; CLINDOXYL; NOT FOUND; 1% + 5% GEL CT BG AL PLAS TRANS X 45 G; STF
1067500420031; CLINAGEL; CLINAGEL; NOT FOUND; 10.3 MG/G GEL DERM CT BG AL REV X 45 G; STF
1067500500270; CLARIPEL; CLARIPEL; NOT FOUND; 40 MG/G GEL CT BG AL X 30; STF
1067500500254; CLARIPEL; CLARIPEL; NOT FOUND; CREME 40 MG/G TP CX BISN 30 G; STF
