501004901169419, REFRESH, REFRESH, NOT FOUND, 0.2 PCC GEL OFT CT BG X 10 G, ALL
501004903161415, REFRESH, REFRESH, NOT FOUND, 0.3 PCC GEL OFT CT BG AL X 10G, ALL
501004902173312, REFRESH, REFRESH, NOT FOUND, 14 MG/ML + 6 MG/ML SOL OCU CT 30 FLAC X 0.4 ML , ALL
501006102131311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 10 ML, ALL
501006101135311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 5 ML, ALL
501005001137314, RESTASIS, RESTASIS, NOT FOUND, 0.5 MG/G EMUL OCU CT CAMA PLAS 32 FLAC PLAS INC X 0.4 ML, ALL
501004901169419, REFRESH, REFRESH, NOT FOUND, 0.2 PCC GEL OFT CT BG X 10 G, ALL
501004903161415, REFRESH, REFRESH, NOT FOUND, 0.3 PCC GEL OFT CT BG AL X 10G, ALL
501004902173312, REFRESH, REFRESH, NOT FOUND, 14 MG/ML + 6 MG/ML SOL OCU CT 30 FLAC X 0.4 ML , ALL
501006102131311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 10 ML, ALL
501006101135311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 5 ML, ALL
501005001137314, RESTASIS, RESTASIS, NOT FOUND, 0.5 MG/G EMUL OCU CT CAMA PLAS 32 FLAC PLAS INC X 0.4 ML, ALL
501004901169419, REFRESH, REFRESH, NOT FOUND, 0.2 PCC GEL OFT CT BG X 10 G, ALL
501004903161415, REFRESH, REFRESH, NOT FOUND, 0.3 PCC GEL OFT CT BG AL X 10G, ALL
501004902173312, REFRESH, REFRESH, NOT FOUND, 14 MG/ML + 6 MG/ML SOL OCU CT 30 FLAC X 0.4 ML , ALL
501006102131311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 10 ML, ALL
501006101135311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 5 ML, ALL
501005001137314, RESTASIS, RESTASIS, NOT FOUND, 0.5 MG/G EMUL OCU CT CAMA PLAS 32 FLAC PLAS INC X 0.4 ML, ALL
501004901169419, REFRESH, REFRESH, NOT FOUND, 0.2 PCC GEL OFT CT BG X 10 G, ALL
501004903161415, REFRESH, REFRESH, NOT FOUND, 0.3 PCC GEL OFT CT BG AL X 10G, ALL
501004902173312, REFRESH, REFRESH, NOT FOUND, 14 MG/ML + 6 MG/ML SOL OCU CT 30 FLAC X 0.4 ML , ALL
501006102131311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 10 ML, ALL
501006101135311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 5 ML, ALL
501005002176313, RESTASIS, RESTASIS, NOT FOUND, 0.5 MG/G EMUL OCU CT CAMA PLAS 30 FLAC PLAS INC X 0.4 ML, ALL
501005001137314, RESTASIS, RESTASIS, NOT FOUND, 0.5 MG/G EMUL OCU CT CAMA PLAS 32 FLAC PLAS INC X 0.4 ML, ALL
501004901169419, REFRESH, REFRESH, NOT FOUND, 0.2 PCC GEL OFT CT BG X 10 G, ALL
501004903161415, REFRESH, REFRESH, NOT FOUND, 0.3 PCC GEL OFT CT BG AL X 10G, ALL
501004902173312, REFRESH, REFRESH, NOT FOUND, 14 MG/ML + 6 MG/ML SOL OCU CT 30 FLAC X 0.4 ML , ALL
501006102131311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 10 ML, ALL
501006101135311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 5 ML, ALL
501005002176313, RESTASIS, RESTASIS, NOT FOUND, 0.5 MG/G EMUL OCU CT CAMA PLAS 30 FLAC PLAS INC X 0.4 ML, ALL
501005001137314, RESTASIS, RESTASIS, NOT FOUND, 0.5 MG/G EMUL OCU CT CAMA PLAS 32 FLAC PLAS INC X 0.4 ML, ALL
501004901169419, REFRESH, REFRESH, NOT FOUND, 0.2 PCC GEL OFT CT BG X 10 G, ALL
501004903161415, REFRESH, REFRESH, NOT FOUND, 0.3 PCC GEL OFT CT BG AL X 10G, ALL
501004902173312, REFRESH, REFRESH, NOT FOUND, 14 MG/ML + 6 MG/ML SOL OCU CT 30 FLAC X 0.4 ML , ALL
501006102131311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 10 ML, ALL
501006101135311, RELESTAT, RELESTAT, NOT FOUND, 0.5 MG/ML OCU CT FR PLAS GOT X 5 ML, ALL
501005002176313, RESTASIS, RESTASIS, NOT FOUND, 0.5 MG/G EMUL OCU CT CAMA PLAS 30 FLAC PLAS INC X 0.4 ML, ALL
501005001137314, RESTASIS, RESTASIS, NOT FOUND, 0.5 MG/G EMUL OCU CT CAMA PLAS 32 FLAC PLAS INC X 0.4 ML, ALL
501004901169419, REFRESH, REFRESH, NOT FOUND, 0.2 PCC GEL OFT CT BG X 10 G, ALL
