501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000902179415, BIAMOTIL, BIAMOTIL, NOT FOUND, 5.8 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, BISNAGA - POM - 3.5G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 UI PO LIOF (SOL INJ) CX FA VD INC, ALL
501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000902179415, BIAMOTIL, BIAMOTIL, NOT FOUND, 5.8 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, BISNAGA - POM - 3.5G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 UI PO LIOF (SOL INJ) CX FA VD INC, ALL
501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000902179415, BIAMOTIL, BIAMOTIL, NOT FOUND, 5.8 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, BISNAGA - POM - 3.5G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 UI PO LIOF (SOL INJ) CX FA VD INC, ALL
501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000902179415, BIAMOTIL, BIAMOTIL, NOT FOUND, 5.8 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, BISNAGA - POM - 3.5G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 UI PO LIOF (SOL INJ) CX FA VD INC, ALL
501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000902179415, BIAMOTIL, BIAMOTIL, NOT FOUND, 5.8 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, BISNAGA - POM - 3.5G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 UI PO LIOF (SOL INJ) CX FA VD INC, ALL
501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000902179415, BIAMOTIL, BIAMOTIL, NOT FOUND, 5.8 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, BISNAGA - POM - 3.5G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 UI PO LIOF (SOL INJ) CX FA VD INC, ALL
501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000902179415, BIAMOTIL, BIAMOTIL, NOT FOUND, 5.8 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, BISNAGA - POM - 3.5G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 UI PO LIOF (SOL INJ) CX FA VD INC, ALL
501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000902179415, BIAMOTIL, BIAMOTIL, NOT FOUND, 5.8 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, BISNAGA - POM - 3.5G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 UI PO LIOF (SOL INJ) CX FA VD INC, ALL
501001202154418, BOTOX, BOTOX, NOT FOUND, 200 U PO LIOF INJ CT FA VD INC, ALL
501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000902179415, BIAMOTIL, BIAMOTIL, NOT FOUND, 5.8 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, BISNAGA - POM - 3.5G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 UI PO LIOF (SOL INJ) CX FA VD INC, ALL
501001202154418, BOTOX, BOTOX, NOT FOUND, 200 U PO LIOF INJ CT FA VD INC, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, 3.5 MG/G + 1.0 MG/G POM OFT CT BG AL X 3.5 G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, 3.5 MG/ML + 1.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 U PO LIOF INJ CT FA VD INC, ALL
501001202154418, BOTOX, BOTOX, NOT FOUND, 200 U PO LIOF INJ CT FA VD INC, ALL
501000901164414, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/G POM OFT CT BG AL X 3.5 G , ALL
501000903175413, BIAMOTIL, BIAMOTIL, NOT FOUND, 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , ALL
501000801178316, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 10ML, ALL
501000802174314, BETAGAN, BETAGAN, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501001101161311, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, 3.5 MG/G + 1.0 MG/G POM OFT CT BG AL X 3.5 G, ALL
501001102176312, BIAMOTIL-D, BIAMOTIL D, NOT FOUND, 3.5 MG/ML + 1.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501001201158312, BOTOX, BOTOX, NOT FOUND, 100 U PO LIOF INJ CT FA VD INC, ALL
501001202154418, BOTOX, BOTOX, NOT FOUND, 200 U PO LIOF INJ CT FA VD INC, ALL
