68483; DERSAB ; DERSAB; NOT FOUND; SABONETE 90 G x 1; MQF
77059; DIPROGENTA ; DIPROGENTA; NOT FOUND; CREME 10 G x 1; MQF
48785; DIPROGENTA ; DIPROGENTA; NOT FOUND; CREME 30 G x 1; MQF
77060; DIPROGENTA ; DIPROGENTA; NOT FOUND; POM. 10 G x 1; MQF
48786; DIPROGENTA ; DIPROGENTA; NOT FOUND; POM. 30 G x 1; MQF
77061; DIPROSALIC ; DIPROSALIC; NOT FOUND; POM. 10 G x 1; MQF
31153; DIPROSALIC ; DIPROSALIC; NOT FOUND; POM. 30 G x 1; MQF
77062; DIPROSALIC ; DIPROSALIC; NOT FOUND; SOLN 10 ML x 1; MQF
31152; DIPROSALIC ; DIPROSALIC; NOT FOUND; SOLN 30 ML x 1; MQF
77063; DIPROSONE ; DIPROSONE; NOT FOUND; CREME 0.64 MG 10 G x 1 (/G); MQF
48677; DIPROSONE ; DIPROSONE; NOT FOUND; CREME 0.64 MG 30 G x 1 (/G); MQF
77064; DIPROSONE ; DIPROSONE; NOT FOUND; LOC.CAPILAR 0.64 MG 10 ML x 1 (/ML); MQF
32318; DIPROSONE ; DIPROSONE; NOT FOUND; LOC.CAPILAR 0.64 MG 30 ML x 1 (/ML); MQF
77065; DIPROSONE ; DIPROSONE; NOT FOUND; POM. 0.64 MG 10 G x 1 (/G); MQF
48977; DIPROSONE ; DIPROSONE; NOT FOUND; POM. 0.64 MG 30 G x 1 (/G); MQF
30287; DIPROSPAN ; DIPROSPAN; NOT FOUND; AMP. 1 ML x 1; MQF
50163; DIPROSPAN ; DIPROSPAN; NOT FOUND; HYPACK J.DES 1 ML x 1; MQF
