521401401175312; PROPESS; PROPESS; NOT FOUND; 10 MG PES CT ENV AL POLIET X 1 ; FER
521400806139410; PENTASA; PENTASA; NOT FOUND; 1 G GRAN OR LIB PROL CT ENV AL/PE X 50; FER
521400807135419; PENTASA; PENTASA; NOT FOUND; 1 G GRAN OR LIB PROL CT ENV AL/PE X 100; FER
521413020005303; PENTASA; PENTASA; NOT FOUND; 1G COM LIB PROL OR CT BL AL/AL X 60; FER
521400802176419; PENTASA; PENTASA; NOT FOUND; 10 MG/ML ENEMA RETAL CT 7 FR PLAS OPC X 100 ML; FER
521400804144417; PENTASA; PENTASA; NOT FOUND; 1000 MG/SUP RET CT BL AL/AL X 15 + DEDEIRAS X 15; FER
521412030004903; PENTASA; PENTASA; NOT FOUND; 1000 MG/SUP RET CT BL AL/AL X 15; FER
521400808141315; PENTASA; PENTASA; NOT FOUND; 1000 MG/SUP RET CT BL AL/AL X 28 + DEDEIRAS X 28; FER
521412030005003; PENTASA; PENTASA; NOT FOUND; 1000 MG/SUP RET CT BL AL/AL X 28; FER
521400809138415; PENTASA; PENTASA; NOT FOUND; 2 G GRAN OR LIB PROL CT ENV AL/PE X 60 ; FER
521401801114310; PENTASA; PENTASA; NOT FOUND; 2 G GRAN OR LIB PROL CT ENV AL/PE X 15; FER
521401802110319; PENTASA; PENTASA; NOT FOUND; 2 G GRAN OR LIB PROL CT ENV AL/PE X 30; FER
521400805116417; PENTASA; PENTASA; NOT FOUND; 500 MG COM LIB PROL CT BL AL/AL X 50; FER
521413110005505; PICOPREP; PICOPREP; NOT FOUND; 10MG + 3.5G + 12G PO PREP EXTEMP CT SACHE AL/PE X 2; FER
