519005401111418; HECLIVIR; HECLIVIR; NOT FOUND; 200 MG COM CT BL AL PLAS AMB X 25; N_Q
519005403114414; HECLIVIR; HECLIVIR; NOT FOUND; 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); N_Q
519005402169411; HECLIVIR; HECLIVIR; NOT FOUND; 50 MG/G CREM DERM CT BG AL X 10 G; N_Q
519005701115419; HIPERNOLOL; HIPERNOLOL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 40; N_Q
519005702111417; HIPERNOLOL; HIPERNOLOL; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 20; N_Q
519005801160424; HIPODERMON; HIPODERMON; NOT FOUND; POMADA (BG AL C/45GR); N_Q
519005503119116; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS INC X 30; N_Q
519005501116111; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS INC X 20 ; N_Q
519005902137411; HISTAMIN; HISTAMIN; NOT FOUND; 0.4 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; N_Q
519005903133418; HISTAMIN; HISTAMIN; NOT FOUND; 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML ( EMB HOSP); N_Q
519005901114416; HISTAMIN; HISTAMIN; NOT FOUND; 2 MG COM CT 2 BL AL PLAS INC X 10; N_Q
519005904113410; HISTAMIN; HISTAMIN; NOT FOUND; 2 MG COM CX 25  BL AL PLAS INC X 20 ( EMB HOSP); N_Q
