519014501115414; PYLORIKIT; PYLORIKIT; NOT FOUND; CX C/7 BLISTERS X 4 + 2 + 2; N_Q
519020102111411; PLESONAX; PLESONAX; NOT FOUND; 5 MG DRG CT BL AL PLAS INC X 100; N_Q
519020101115411; PLESONAX; PLESONAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 20 ; N_Q
519014305154410; PROXACIN; PROXACIN; NOT FOUND; 2 MG/ML SOL INJ CX 12 FR PLAS TRANS X 100 ML (EMB HOSP); N_Q
519014301116417; PROXACIN; PROXACIN; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; N_Q
519014304174418; PROXACIN; PROXACIN; NOT FOUND; 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; N_Q
519014302112415; PROXACIN; PROXACIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; N_Q
519014303119413; PROXACIN; PROXACIN; NOT FOUND; 500 MG COM REV CT 2 BL AL PLAS INC X 7; N_Q
519014306118418; PROXACIN; PROXACIN; NOT FOUND; 500 MG COM REV CX  BL AL PLAS INC X 480 (EMB HOSP); N_Q
519025901136414; PRURIFEN; PRURIFEN; NOT FOUND; 0.2 MG/ML XPE CT FR VD AMB X 120 ML; N_Q
519014102131114; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR FR PLAS OPC GOT X 15 ML  ; N_Q
519014109118113; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISPLAY BL AL PLAS LAR X 200; N_Q
519014202169415; PROPIOSOL; PROPIOSOL; NOT FOUND; 0.5 MG POM DERM CT BG AL X 30 G; N_Q
519014201162417; PROPIOSOL; PROPIOSOL; NOT FOUND; CREME 0.5MG/GR (BISN AL C/30GR); N_Q
519020201160117; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.50 MG/G CREM DERM CT BG AL X 30 G  ; N_Q
519020203163113; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30 G; N_Q
519014401137416; PULMOFLUX; PULMOFLUX; NOT FOUND; 2 MG/5 ML XPE CT FR VD AMB X 100 ML ; N_Q
519014402133414; PULMOFLUX; PULMOFLUX; NOT FOUND; 2 MG/5 ML XPE CX 50 FR VD AMB X 100 (EMB HOSP); N_Q
