519024201130113; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; N_Q
519024202137111; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; N_Q
519000102116115; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200MG COM CT BL AL PLAS INC X 25 ; N_Q
519000101160110; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; N_Q
519000203133112; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; SUS 400MG (VD AMB C/10ML); N_Q
519000202110119; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST DISPLAY  BL AL PLAS INC X 1  ; N_Q
519000701117410; ASMAPEN; ASMAPEN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; N_Q
519000704116415; ASMAPEN; ASMAPEN; NOT FOUND; 100 MG COM CX 25 BL AL PLAS INC X 20 (EMB. HOSP.); N_Q
519000702113419; ASMAPEN; ASMAPEN; NOT FOUND; 200 MG COM CT 2 BL AL PLAS INC X 10; N_Q
519027001116111; AMINOFILINA; AMINOFILINA; AMINOFILINA; 200 MG COM CT BL AL PLAS INC X 20; N_Q
519000703152418; ASMAPEN; ASMAPEN; NOT FOUND; INJ (CX C/50 AMP C/10ML); N_Q
519000501134117; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO SUS OR CT FR VD AMB X 150 ML + CP MED X 10 ML; N_Q
519000503110118; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PVC INC X 15; N_Q
519000504117116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PVC INC X 21; N_Q
519000601139110; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED X 5 ML; N_Q
519000602135119; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML + CP MED X 5 ML; N_Q
519000801111414; ATENEO; ATENEO; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 28; N_Q
519028301113116; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; N_Q
519030002111415; ATENEUM; ATENEUM; NOT FOUND; 100MG COM CT BL AL PLAS INC X 30; N_Q
519030001113414; ATENEUM; ATENEUM; NOT FOUND; 25MG COM CT BL AL PLAS INC X 30; N_Q
519000802118412; ATENEO; ATENEO; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; N_Q
519028302111117; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; N_Q
519030003116410; ATENEUM; ATENEUM; NOT FOUND; 50MG COM CT BL AL PLAS INC X 30; N_Q
519000901116418; ATENORIC; ATENORIC; NOT FOUND; 100 MG + 25 MG COM CT 2 BL AL PLAS AMB X 14; N_Q
519028503131115; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR VD AMB X 15 ML + DIL FR PLAS X 11.5 ML + SER DOSAD ; N_Q
519028504138113; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR VD AMB X 22.5 ML + DIL FR PLAS X 17 ML + SER DOSAD ; N_Q
519029801136415; ALERGIDEX; ALERGIDEX; NOT FOUND; 0.4 MG/ ML + 0.05 MG / ML XPE CT FR PET AMB X 120ML + CP MED; N_Q
519025101172416; ASSEPTCARE; ASSEPTCARE; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC X 30 ML + APLICADOR; N_Q
519025102179414; ASSEPTCARE; ASSEPTCARE; NOT FOUND; 10 MG/ML SOL TOP INCOLOR SPRAY CT FR PLAS OPC X 50 ML; N_Q
519000401113411; AMILORID; AMILORID; NOT FOUND; 5 MG + 50 MG COM CT  BL AL PLAS AMB X 30; N_Q
519024601112414; ANOXOLAN; ANOXOLAN; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 20; N_Q
519024602119412; ANOXOLAN; ANOXOLAN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20; N_Q
519022802110412; ATENSEC; ATENSEC; NOT FOUND; 5.0 MG COM CT 5 BL AL PLAS INC X 6; N_Q
519029301168113; ÁCIDO FUSÍDICO; ACIDO FUSIDICO; ACIDO FUSIDICO; 20MG/G CREM DERM CT BG AL X 15G ; N_Q
