503407201137116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR PLAS AMB X 30 ML, BLF
503407101167110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100 MG/G GEL VAG CT BG AL X 50G + 10 APLIC, BLF
503404401161415, MICOSBEL, MICOSBEL, NOT FOUND, BGS. C/30 GRS. POM., BLF
503404402174413, MICOSBEL, MICOSBEL, NOT FOUND, CXS. C/60 GRS. SAB., BLF
503404403170411, MICOSBEL, MICOSBEL, NOT FOUND, FRS. C/30 ML LOCAO, BLF
503404404134419, MICOSBEL, MICOSBEL, NOT FOUND, FRS. C/60 ML. SUSP., BLF
503407201137116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR PLAS AMB X 30 ML, BLF
503407101167110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100 MG/G GEL VAG CT BG AL X 50G + 10 APLIC, BLF
503404401161415, MICOSBEL, MICOSBEL, NOT FOUND, BGS. C/30 GRS. POM., BLF
503404402174413, MICOSBEL, MICOSBEL, NOT FOUND, CXS. C/60 GRS. SAB., BLF
503404403170411, MICOSBEL, MICOSBEL, NOT FOUND, FRS. C/30 ML LOCAO, BLF
503404404134419, MICOSBEL, MICOSBEL, NOT FOUND, FRS. C/60 ML. SUSP., BLF
503407201137116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR PLAS AMB X 30 ML, BLF
503407101167110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100 MG/G GEL VAG CT BG AL X 50G + 10 APLIC, BLF
503404401161415, MICOSBEL, MICOSBEL, NOT FOUND, BGS. C/30 GRS. POM., BLF
503404402174413, MICOSBEL, MICOSBEL, NOT FOUND, CXS. C/60 GRS. SAB., BLF
503404403170411, MICOSBEL, MICOSBEL, NOT FOUND, FRS. C/30 ML LOCAO, BLF
503404404134419, MICOSBEL, MICOSBEL, NOT FOUND, FRS. C/60 ML. SUSP., BLF
