503401801132418, CALCIOFAR SUSP B12, CALCIOFAR SUSP B12, NOT FOUND, FRS C/ 250 ML, BLF
503401901110416, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 12.5MG CX C/ 30, BLF
503401902117414, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 25MG CX C/ 30, BLF
503401903113412, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 50MG CX C/30, BLF
503402001164410, CLIOTISONA, CLIOTISONA, NOT FOUND, (30+20) MG/G CRE DERM BG X 20 G, BLF
503402101169414, COLPADAK, COLPADAK, NOT FOUND, BGS. C/28 G CR. DERM., BLF
503402102165412, COLPADAK, COLPADAK, NOT FOUND, BGS. C/80 G CR. VAGINAL, BLF
503402103171416, COLPADAK, COLPADAK, NOT FOUND, FRS. C/30 GRS. PO, BLF
503402104176411, COLPADAK, COLPADAK, NOT FOUND, FRS. C/30 ML LOCAO, BLF
503401801132418, CALCIOFAR SUSP B12, CALCIOFAR SUSP B12, NOT FOUND, FRS C/ 250 ML, BLF
503401901110416, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 12.5MG CX C/ 30, BLF
503401902117414, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 25MG CX C/ 30, BLF
503401903113412, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 50MG CX C/30, BLF
503402001164410, CLIOTISONA, CLIOTISONA, NOT FOUND, (30+20) MG/G CRE DERM BG X 20 G, BLF
503402101169414, COLPADAK, COLPADAK, NOT FOUND, BGS. C/28 G CR. DERM., BLF
503402102165412, COLPADAK, COLPADAK, NOT FOUND, BGS. C/80 G CR. VAGINAL, BLF
503402103171416, COLPADAK, COLPADAK, NOT FOUND, FRS. C/30 GRS. PO, BLF
503402104176411, COLPADAK, COLPADAK, NOT FOUND, FRS. C/30 ML LOCAO, BLF
503401801132418, CALCIOFAR SUSP B12, CALCIOFAR SUSP B12, NOT FOUND, FRS C/ 250 ML, BLF
503401901110416, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 12.5MG CX C/ 30, BLF
503401902117414, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 25MG CX C/ 30, BLF
503401903113412, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 50MG CX C/30, BLF
503402001164410, CLIOTISONA, CLIOTISONA, NOT FOUND, (30+20) MG/G CRE DERM BG X 20 G, BLF
503402101169414, COLPADAK, COLPADAK, NOT FOUND, BGS. C/28 G CR. DERM., BLF
503402102165412, COLPADAK, COLPADAK, NOT FOUND, BGS. C/80 G CR. VAGINAL, BLF
503402103171416, COLPADAK, COLPADAK, NOT FOUND, FRS. C/30 GRS. PO, BLF
503402104176411, COLPADAK, COLPADAK, NOT FOUND, FRS. C/30 ML LOCAO, BLF
503401801132418, CALCIOFAR SUSP B12, CALCIOFAR SUSP B12, NOT FOUND, FRS C/ 250 ML, BLF
503401901110416, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 12.5MG CX C/ 30, BLF
503401902117414, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 25MG CX C/ 30, BLF
503401903113412, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 50MG CX C/30, BLF
503402001164410, CLIOTISONA, CLIOTISONA, NOT FOUND, (30+20) MG/G CRE DERM BG X 20 G, BLF
503402101169414, COLPADAK, COLPADAK, NOT FOUND, BGS. C/28 G CR. DERM., BLF
503402102165412, COLPADAK, COLPADAK, NOT FOUND, BGS. C/80 G CR. VAGINAL, BLF
503402103171416, COLPADAK, COLPADAK, NOT FOUND, FRS. C/30 GRS. PO, BLF
503402104176411, COLPADAK, COLPADAK, NOT FOUND, FRS. C/30 ML LOCAO, BLF
503401801132418, CALCIOFAR SUSP B12, CALCIOFAR SUSP B12, NOT FOUND, FRS C/ 250 ML, BLF
503401901110416, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 12.5MG CX C/ 30, BLF
503401902117414, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 25MG CX C/ 30, BLF
503401903113412, CAPTOMIDO, CAPTOMIDO, NOT FOUND, 50MG CX C/30, BLF
503402001164410, CLIOTISONA, CLIOTISONA, NOT FOUND, (30+20) MG/G CRE DERM BG X 20 G, BLF
503402101169414, COLPADAK, COLPADAK, NOT FOUND, BGS. C/28 G CR. DERM., BLF
503402102165412, COLPADAK, COLPADAK, NOT FOUND, BGS. C/80 G CR. VAGINAL, BLF
503402103171416, COLPADAK, COLPADAK, NOT FOUND, FRS. C/30 GRS. PO, BLF
503402104176411, COLPADAK, COLPADAK, NOT FOUND, FRS. C/30 ML LOCAO, BLF
503401801132418, CALCIOFAR SUSP B12, CALCIOFAR SUSP B12, NOT FOUND, FRS C/ 250 ML, BLF
