503402902161411, FLAGIMAX, FLAGIMAX, NOT FOUND, 100 MG/G GEL CT BG AL X 50 G + 10 APLIC, BLF
503402901130415, FLAGIMAX, FLAGIMAX, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 100 ML + COP MED , BLF
503402905136418, FLAGIMAX, FLAGIMAX, NOT FOUND, 40 MG/ML SUS OR CT FR PLAS AMB X 100 ML + COP MED, BLF
503412030014704, FENATEC, FENATEC, NOT FOUND, 5 MG/ML SOL OR CT FR VD CGT X 20 ML, BLF
503403001117410, FLATICONA, FLATICONA, NOT FOUND, 40 MG COM CT 2 BL AL PLAS INC X 10, BLF
503403002131417, FLATICONA, FLATICONA, NOT FOUND, 75 MG/ML SUS OR CT FR PLAS OPC GOT X 10 ML, BLF
503403003136412, FLATICONA, FLATICONA, NOT FOUND, 75 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, BLF
503403101111414, FLUCOL, FLUCOL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS AMB X 1, BLF
503403102118412, FLUCOL, FLUCOL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS AMB X 2, BLF
503403401115415, FUROMIDA, FUROMIDA, NOT FOUND, 40 MG COM CT 2 BL AL PLAS INC X 10, BLF
503414020017003, FUROMIDA, FUROMIDA, NOT FOUND, 40 MG COM CT 2 BL AL PLAS AMB X 10, BLF
