503413050015703; DRENOGRIP; DRENOGRIP; NOT FOUND; 500MG+30MG+2MG COM REV CT BL AL PLAS INC X 6 AM + 6  VER; BLF
503402702111410; DRENOGRIP; DRENOGRIP; NOT FOUND; 500MG+30MG+2MG COM REV CT BL AL PLAS INC X 60 AM + 60 VER (EMB MULT); BLF
503402401162415; DERMOTRIZOL; DERMOTRIZOL; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; BLF
503402402177416; DERMOTRIZOL; DERMOTRIZOL; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB SPRAY X 20 ML; BLF
503412030014803; DERMOTRIZOL; DERMOTRIZOL; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC GOT X 30 ML; BLF
503402202178419; DELTAPIL; DELTAPIL; NOT FOUND; 0.20 MG/ML LOC CT FR PLAS OPC X 100 ML; BLF
503402203174417; DELTAPIL; DELTAPIL; NOT FOUND; 0.20 MG/ML SHAMP CT FR PLAS OPC X 100 ML; BLF
503402503135417; DEXAGLOS; DEXAGLOS; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 100 ML; BLF
503402502112413; DEXAGLOS; DEXAGLOS; NOT FOUND; 0.5 MG COM CX CT STR X 20; BLF
503402604136427; DIPIGINA; DIPIGINA; NOT FOUND; FRS. C/60 ML. SOL. ORAL.; BLF
503402602133420; DIPIGINA; DIPIGINA; NOT FOUND; FRS. C/10 ML GOTAS; BLF
503402603131421; DIPIGINA; DIPIGINA; NOT FOUND; FRS. C/20 ML GOTAS; BLF
503402601110427; DIPIGINA; DIPIGINA; NOT FOUND; CXS. C/20 COMP.; BLF
503413120016704; DIPIGINA; DIPIGINA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 10; BLF
503413120016804; DIPIGINA; DIPIGINA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 20; BLF
503413120016904; DIPIGINA; DIPIGINA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 280 ; BLF
