503405201113415, PLABEL, PLABEL, NOT FOUND, 10 MG COM CT 2 BL AL PLAS INC X 10, BLF
503405202136419, PLABEL, PLABEL, NOT FOUND, 4.0 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, BLF
503405401163416, PROMERGAN, PROMERGAN, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 30 G, BLF
503404903130419, PARAMOL, PARAMOL, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, BLF
503413080016106, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML  SOL OR CT FR PLAS OPC GOT X 15 ML , BLF
503413080016206, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML  SOL OR CT 50 FR PLAS OPC GOT X 15 ML (EMB HOSP), BLF
503413080016306, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML  SOL OR CT 100 FR PLAS OPC GOT X 15 ML (EMB HOSP), BLF
503404901111417, PARAMOL, PARAMOL, NOT FOUND, 750 MG COM REV CT BL AL PLAS AMB X 12, BLF
503404902118415, PARAMOL, PARAMOL, NOT FOUND, 750 MG COM REV CT 50 BL AL PLAS AMB X 4 (EMB HOSP), BLF
503405001173414, PIOSAN, PIOSAN, NOT FOUND, 0.01 G/ML LOC CT FR PLAS OPC X 60 ML, BLF
503405101119411, PIROFLAM, PIROFLAM, NOT FOUND, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10, BLF
503405301169412, POMICINA, POMICINA, NOT FOUND, 5.0 MG/G POM DERM CT TB AL X 20 G, BLF
