500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0MG CAP CT BL AL PLAST. INC X 20, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0MG CAP CT BL AL PLAST. INC X 20, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0MG CAP CT BL AL PLAST. INC X 20, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0MG CAP CT BL AL PLAST. INC X 20, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0MG CAP CT BL AL PLAST. INC X 20, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0MG CAP CT BL AL PLAST. INC X 20, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0MG CAP CT BL AL PLAST. INC X 20, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0MG CAP CT BL AL PLAST. INC X 20, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0MG CAP CT BL AL PLAST. INC X 20, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0 MG CAP CT BL AL PLAST. INC X 20, ABT
500203601167312, GYNO IRUXOL, GYNO IRUXOL, NOT FOUND, 0.6UI/G + 10MG/G POM CT BG AL X 30G + 6 APLIC, ABT
500208501111413, GOPTEN, GOPTEN, NOT FOUND, 2.0 MG CAP CT BL AL PLAST. INC X 20, ABT
