500204202169311, IRUXOL, IRUXOL, NOT FOUND, 0.6 U/G + 0.01 G POM DERM CT BG AL X 15 G + ESPATULA, ABT
500204207160310, IRUXOL, IRUXOL, NOT FOUND, 0.6 U/G + 0.01 G POM DERM CT BG AL X 15 G, ABT
500204201162311, IRUXOL, IRUXOL, NOT FOUND, POM DERM CT 50 BG AL X 30 G, ABT
500204203165318, IRUXOL, IRUXOL, NOT FOUND, 0.6 U/G + 0.01 G POM DERM CT BG AL X 30 G, ABT
500204204161316, IRUXOL, IRUXOL, NOT FOUND, 0.6 U/G + 0.01 G POM DERM CT BG AL X 50 G + ESPATULA, ABT
500204208167319, IRUXOL, IRUXOL, NOT FOUND, 0.6 U/G + 0.01 G POM DERM CT BG AL X 50 G, ABT
500204206164312, IRUXOL, IRUXOL, NOT FOUND, 1.2U/G POM DERM CT BG AL X 15G + ESPATULA, ABT
500204205168314, IRUXOL, IRUXOL, NOT FOUND, 1.2U/G POM DERM CT BG AL X 30G + ESPATULA, ABT
500209902169410, IRUXOL MONO, IRUXOL MONO, NOT FOUND, 1.2 U/G POM DERM CT BG AL X 15 G, ABT
500209901162412, IRUXOL MONO, IRUXOL MONO, NOT FOUND, 1.2 U/G POM DERM CT 50 BG AL X 30 G, ABT
500209903165419, IRUXOL MONO, IRUXOL MONO, NOT FOUND, 1.2 U/G POM DERM CT BG AL X 30 G, ABT
