500208801172310, TARGUS LAT, TARGUS LAT, NOT FOUND, 40 MG (0.3 MG/CM2) ADESIVO TRANSD CT 2 SACH X 5 + BANDAGEM , ABT
500208701119310, TEOLONG, TEOLONG, NOT FOUND, 100 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 , ABT
500208702115319, TEOLONG, TEOLONG, NOT FOUND, 200 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 , ABT
500208703111317, TEOLONG, TEOLONG, NOT FOUND, 300 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 , ABT
500209401161417, TROMBOFOB, TROMBOFOB, NOT FOUND, 50 UI/G + 2.067 MG/G POM DERM CT BG AL X 40, ABT
500209501164418, TROMBOFOB GEL , TROMBOFOB GEL, NOT FOUND, 200 UI/G GL TOP CT BG AL X 40, ABT
500208801172310, TARGUS LAT, TARGUS LAT, NOT FOUND, 40 MG (0.3 MG/CM2) ADESIVO TRANSD CT 2 SACH X 5 + BANDAGEM , ABT
500208701119310, TEOLONG, TEOLONG, NOT FOUND, 100 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 , ABT
500208702115319, TEOLONG, TEOLONG, NOT FOUND, 200 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 , ABT
500208703111317, TEOLONG, TEOLONG, NOT FOUND, 300 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 , ABT
500209401161417, TROMBOFOB, TROMBOFOB, NOT FOUND, 50 UI/G + 2.067 MG/G POM DERM CT BG AL X 40, ABT
500209501164418, TROMBOFOB GEL , TROMBOFOB GEL, NOT FOUND, 200 UI/G GL TOP CT BG AL X 40, ABT
500208801172310, TARGUS LAT, TARGUS LAT, NOT FOUND, 40 MG (0.3 MG/CM2) ADESIVO TRANSD CT 2 SACH X 5 + BANDAGEM , ABT
500208701119310, TEOLONG, TEOLONG, NOT FOUND, 100 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 , ABT
500208702115319, TEOLONG, TEOLONG, NOT FOUND, 200 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 , ABT
500208703111317, TEOLONG, TEOLONG, NOT FOUND, 300 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 , ABT
500209401161417, TROMBOFOB, TROMBOFOB, NOT FOUND, 50 UI/G + 2.067 MG/G POM DERM CT BG AL X 40, ABT
500209501164418, TROMBOFOB GEL , TROMBOFOB GEL, NOT FOUND, 200 UI/G GL TOP CT BG AL X 40, ABT
500208801172310, TARGUS LAT, TARGUS LAT, NOT FOUND, 40 MG (0.3 MG/CM2) ADESIVO TRANSD CT 2 SACH X 5 + BANDAGEM , ABT
