500200901119114, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 20, ABT
500200902115112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 20, ABT
500214110033617, BURINAX, BURINAX, NOT FOUND, 1 MG COM CT BL AL PLAS INC X 20, ABT
500200801114218, BLOPRESS, BLOPRESS, NOT FOUND, 16 MG COM CT BL AL PLAS INC X 30, ABT
500200803117214, BLOPRESS, BLOPRESS, NOT FOUND, 8 MG COM CT BL AL PLAS INC X 30, ABT
532000205117311, BETASERC, BETASERC, NOT FOUND, 16 MG COM CT BL AL PLAS INC X 90, ABT
532000204110311, BETASERC, BETASERC, NOT FOUND, 24 MG COM CT BL AL PLAS INC X 120, ABT
500201002118318, BUFEDIL, BUFEDIL, NOT FOUND, 150 MG COM REV CT FR VD AMB X 30, ABT
500201003114316, BUFEDIL, BUFEDIL, NOT FOUND, 300 MG COM REV CT FR VD AMB X 30, ABT
500214100032517, BETASERC, BETASERC, NOT FOUND, 16 MG COM CT BL AL PLAS INC X 30, ABT
500214100032617, BETASERC, BETASERC, NOT FOUND, 24 MG COM CT BL AL PLAS INC X 30, ABT
500214100032717, BETASERC, BETASERC, NOT FOUND, 24 MG COM CT BL AL PLAS INC X 60 , ABT
