500205201158312, LUPRON DEPOT, LUPRON DEPOT, NOT FOUND, 11.25 MG PO LIOF INJ ESTOJO FA VD INC + DIL UENTE AMP VD INC X 2.0 ML + 1 SER + 2 AGU, ABT
500205202154310, LUPRON DEPOT, LUPRON DEPOT, NOT FOUND, 22.5 MG PO LIOF INJ CX FA VD INC + DIL + SER + 2 AGU, ABT
500205203150319, LUPRON DEPOT, LUPRON DEPOT, NOT FOUND, 3.75 MG PO LIOF INJ CX FA VD INC + DILUENTE + SER + 2 AGU, ABT
500205101153319, LUPRON, LUPRON, NOT FOUND, 5.0 MG/ML SOL INJ PT PLAS OPC  FA VD INC X 2.8 ML + 14 SER, ABT
500205204157317, LUPRON DEPOT, LUPRON DEPOT, NOT FOUND, 7.5 MG PO LIOF INJ CX FA VD INC + DIL + SER + 2 AGU, ABT
500214090032117, LIPIDIL, LIPIDIL, NOT FOUND, 160 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30, ABT
500214090032217, LIPIDIL, LIPIDIL, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS PVC/PVDC TRANS X 30, ABT
500214010031114, LUVOX, LUVOX, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 15 , ABT
532004001117314, LUVOX, LUVOX, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 15 , ABT
500214010031214, LUVOX, LUVOX, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 30, ABT
500214010031314, LUVOX, LUVOX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 15 , ABT
500214010031414, LUVOX, LUVOX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 30, ABT
532004005112317, LUVOX, LUVOX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 30, ABT
500214010031514, LUVOX, LUVOX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 8 , ABT
532004004116319, LUVOX, LUVOX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 8, ABT
