98195, MAGMAX , MAGMAX, NOT FOUND, LIQD HORTELA 80 MG 100 ML x 1 (/ML), NAU
76149, MAGMAX , MAGMAX, NOT FOUND, LIQD HORTELA 80 MG 120 ML x 1 (/ML), NAU
95761, MAGMAX , MAGMAX, NOT FOUND, LIQD TRAD 80 MG 100 ML x 1 (/ML), NAU
72812, MAGMAX , MAGMAX, NOT FOUND, LIQD TRAD 80 MG 120 ML x 1 (/ML), NAU
112513, MASFEROL , MASFEROL, NOT FOUND, CPR REVEST 40 MG x 40, NAU
77439, MASFEROL , MASFEROL, NOT FOUND, XAROPE 25 MG 100 ML x 1 (/ML), NAU
77440, MASFEROL , MASFEROL, NOT FOUND, XAROPE 25 MG 400 ML x 1 (/ML), NAU
75038, MAXALGINA , MAXALGINA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), NAU
75037, MAXALGINA , MAXALGINA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), NAU
79274, MAXALGINA , MAXALGINA, NOT FOUND, SOL ORAL SER 50 MG 100 ML x 1 (/ML), NAU
75036, MAXALGINA , MAXALGINA, NOT FOUND, SOLN ORAL 50 MG 100 ML x 1 (/ML), NAU
73331, MAXTONICO , MAXTONICO, NOT FOUND, GOTAS 68 MG 30 ML x 1 (/ML), NAU
72223, MAXTONICO , MAXTONICO, NOT FOUND, XAROPE 125 MG 100 ML x 1 (/5ML), NAU
72224, MAXTONICO , MAXTONICO, NOT FOUND, XAROPE 125 MG 400 ML x 1 (/5ML), NAU
77401, METIOTRAT , METIOTRAT, NOT FOUND, SOLN TOP. 10 MG 30 ML x 1 (/ML), NAU
77399, METIOTRAT , METIOTRAT, NOT FOUND, SPRAY 10 MG 45 ML x 1 (/ML), NAU
73524, MICOTLIV , MICOTLIV, NOT FOUND, LOC. 60 ML x 1, NAU
65307, MUCOBRONQ , MUCOBRONQ, NOT FOUND, XAR. AD 250 MG 100 ML x 1 (/5ML), NAU
65308, MUCOBRONQ , MUCOBRONQ, NOT FOUND, XAR. PED. 100 MG 100 ML x 1 (/5ML), NAU
