113248; VALESSONE ; VALESSONE; NOT FOUND; CPR 225 MG x 20; NAU
80466; VALESSONE ; VALESSONE; NOT FOUND; CPR 225 MG x 30; NAU
159015; VARIVAX ; VARIVAX; NOT FOUND; CPR 300 MG x 30; NAU
78699; VARIVAX ; VARIVAX; NOT FOUND; CPR REVEST 100 MG x 30; NAU
76680; VITAMINA E ; VITAMINA E; NOT FOUND; CAPS 400 MG x 30; NAU
79272; VITER C ; VITER C; NOT FOUND; CPR 500 MG x 20; NAU
99511; VITER C ; VITER C; NOT FOUND; CPR EFER LAR 1 G x 10; NAU
141253; VITER C ; VITER C; NOT FOUND; CPR EFER LAR 1 G x 30; NAU
72229; VITER C ; VITER C; NOT FOUND; GOTAS 200 MG 20 ML x 1 (/ML); NAU
145948; VITER C + ZINCO ; VITER C ZINCO; NOT FOUND; CPR EFERV x 10; NAU
145949; VITER C + ZINCO ; VITER C ZINCO; NOT FOUND; CPR EFERV x 30; NAU
