72131, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, A.IV 10 % 10 ML x 200, H_I
71950, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, A.IV 20 % 20 ML x 200, H_I
72446, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, A.IV 9 % 10 ML x 200, H_I
75959, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, BOLSA S/F 0.90 % 50 ML x 1, H_I
69636, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, SO.INJ B IST 0.90 % 500 ML x 20, H_I
75579, SOL DIALIS PERITON , SOL DIALIS PERITON, NOT FOUND, SOLN INJ. 1.50 % 1000 ML x 6, H_I
54309, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, A.IV 17.5 % 10 ML x 1, H_I
54311, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, A.IV 20 % 10 ML x 1, H_I
66519, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, BOLSA S/F 0.90 % 100 ML x 1, H_I
73370, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, BOLSA SOLUFL 0.90 % 100 ML x 1, H_I
74973, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, S INJ S/F BO 0.90 % 100 ML x 60, H_I
74972, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, S INJ S/F BO 0.90 % 1000 ML x 10, H_I
75192, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, SOL INJ BOLS 0.90 % 500 ML x 20, H_I
73708, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, SOL INJ BOLS 9 % 250 ML x 40, H_I
33595, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, SOLN INJ. 0.90 % 1000 ML x 1, H_I
72227, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, SOLN INJ. 0.90 % 250 ML x 40, H_I
33594, SOL FISIOLOGICA , SOL FISIOLOGICA, NOT FOUND, SOLN INJ. 0.90 % 500 ML x 1, H_I
71832, SOL GLIC FIS ISOTO , SOL GLIC FIS ISOTO, NOT FOUND, SOLN INJ. 5 % 500 ML x 20, H_I
77298, SOL GLIC.FISIOLOG. , SOL GLIC FISIOLOG, NOT FOUND, BOLSA S/F 250 ML x 40, H_I
148473, SOL GLIC.FISIOLOG. , SOL GLIC FISIOLOG, NOT FOUND, BOLSA S/F 5% 500 ML x 1, H_I
77297, SOL GLIC.FISIOLOG. , SOL GLIC FISIOLOG, NOT FOUND, BOLSA S/F 500 ML x 20, H_I
70890, SOL GLIC.FISIOLOG. , SOL GLIC FISIOLOG, NOT FOUND, SOLN INJ.1X1 500 ML x 20, H_I
50780, SOL GLICERINA , SOL GLICERINA, NOT FOUND, SOLN 12 % 500 ML x 1, H_I
71339, SOL GLICOSE , SOL GLICOSE, NOT FOUND, AMP. 25 % 10 ML x 200, H_I
71340, SOL GLICOSE , SOL GLICOSE, NOT FOUND, AMP. 50 % 10 ML x 200, H_I
77353, SOL GLICOSE , SOL GLICOSE, NOT FOUND, AMP. 75 % 10 ML x 100, H_I
75194, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOL INJ BOLS 5 % 1000 ML x 10, H_I
69630, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOL INJ BOLS 5 % 250 ML x 40, H_I
71519, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOL INJ BOLS 5 % 500 ML x 1, H_I
77302, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOL.BOL.S/F 10 % 250 ML x 40, H_I
77227, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOL.BOL.S/F 10 % 500 ML x 20, H_I
77307, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOL.BOL.S/F 5 % 500 ML x 20, H_I
31072, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ. 10 % 500 ML x 1, H_I
31069, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ. 5 % 250 ML x 1, H_I
9609, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ. 5 % 500 ML x 1, H_I
161185, SOL RINGER , SOL RINGER, NOT FOUND, S.INJ BO S/F 500 ML x 30, H_I
73709, SOL RINGER , SOL RINGER, NOT FOUND, SOL INJ BOLS 500 ML x 20, H_I
47839, SOL RINGER , SOL RINGER, NOT FOUND, SOLN INJ. 500 ML x 1, H_I
74490, SOL RINGER , SOL RINGER, NOT FOUND, SOLN INJ. 500 ML x 20, H_I
74242, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOL BO STARB 500 ML x 20, H_I
76216, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOL.BOL.S/F 250 ML x 40, H_I
70279, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN 1000 ML x 10, H_I
54339, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN 250 ML x 1, H_I
49978, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN 500 ML x 1, H_I
61370, SOL SALINA BALANCE , SOL SALINA BALANCE, NOT FOUND, SOLN 500 ML x 1, H_I
67503, SULFATO MAGNESIO , SULFATO MAGNESIO, SULFATO MAGNESIO DI-HIDRATADO, AMP. 50 % 10 ML x 100, H_I
