510408303165115, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 15 G, GOB
510408301162119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, GOB
510408302169117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 15 G, GOB
510411001115417, VITAUM, VITAUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, GOB
510408303165115, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 15 G, GOB
510408301162119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, GOB
510408302169117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 15 G, GOB
510411001115417, VITAUM, VITAUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, GOB
510408303165115, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 15 G, GOB
510408301162119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, GOB
510408302169117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 15 G, GOB
510411001115417, VITAUM, VITAUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, GOB
510408303165115, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 15 G, GOB
510408301162119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, GOB
510408302169117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 15 G, GOB
510411001115417, VITAUM, VITAUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, GOB
510408303165115, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 15 G, GOB
510408301162119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, GOB
510408302169117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 15 G, GOB
510411001115417, VITAUM, VITAUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, GOB
510408303165115, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 15 G, GOB
510408301162119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, GOB
510408302169117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 15 G, GOB
510411001115417, VITAUM, VITAUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, GOB
510408303165115, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 15 G, GOB
510408301162119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, GOB
510408302169117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 15 G, GOB
510411001115417, VITAUM, VITAUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, GOB
510408303165115, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 15 G, GOB
510408301162119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, GOB
510408302169117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 15 G, GOB
510411001115417, VITAUM, VITAUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, GOB
510408303165115, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 15 G, GOB
510408301162119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G CREM DERM CT BG AL X 30 G, GOB
510408302169117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G POM DERM CT BG AL X 15 G, GOB
510413701130415, VITACID, VITACID, NOT FOUND, 2 G PO OR CT 50 ENV AL POLIET X 5 G (EMB MULT) - SABOR ACEROLA, GOB
510411001115417, VITAUM, VITAUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, GOB
510406102138416, VITACIN, VITACIN, NOT FOUND, 2 G PO OR CT 10 ENV AL POLIET X 5 G - SABOR ACEROLA, GOB
510413702137413, VITACIN, VITACIN, NOT FOUND, 2 G PO OR CT 10 ENV AL POLIET X 5 G - SABOR LARANJA 01, GOB
510413701130415, VITACIN, VITACIN, NOT FOUND, 2 G PO OR CT 50 ENV AL POLIET X 5 G (EMB MULT) - SABOR ACEROLA, GOB
510413703133411, VITACIN, VITACIN, NOT FOUND, 2 G PO OR CT 50 ENV AL POLIET X 5 G (EMB MULT) - SABOR LARANJA, GOB
510414702173418, VISOPTIC, VISOPTIC, NOT FOUND, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML, GOB
510414701177411, VISOPTIC, VISOPTIC, NOT FOUND, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, GOB
510414703171419, VISOPTIC, VISOPTIC, NOT FOUND, 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510414704176414, VISOPTIC, VISOPTIC, NOT FOUND, 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
