510406402131115, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP) , GOB
510406401135117, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, GOB
510411501134119, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510407801137115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED, GOB
510407802133113, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CX 60 FR VD AMB X 30 ML + 60 CAP MED, GOB
510405801113414, MENBEL, MENBEL, NOT FOUND, 100 MG COM CT 1 BL AL PLAS INC X 06, GOB
510405802111415, MENBEL, MENBEL, NOT FOUND, 100 MG COM CT 50 BL AL PLAS INC X 06 (EMBA HOSP), GOB
510405803132416, MENBEL, MENBEL, NOT FOUND, 20 MG/ML SUS OR CT FR VD AMB X 30 ML, GOB
510405804139414, MENBEL, MENBEL, NOT FOUND, 20 MG/ML SUSP OR CT 60 FR VD AMB X 30 ML (EMB HOSP), GOB
510407102166116, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100 MG/ G GEL VAG CT 60 BG AL X 50 G + 600 APLIC (EMB HOSP), GOB
510407101161110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100 MG/ G GEL VAG CT BG AL X 50 G + 10 APLIC, GOB
510409701164117, METRONIDAZOL + NISTATINA, METRONIDAZOL NISTATINA, NOT FOUND, 100 MG/G + 20.000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC, GOB
510409702160115, METRONIDAZOL + NISTATINA, METRONIDAZOL NISTATINA, NOT FOUND, 100 MG/G + 20.000 UI/G CREM VAG CX 60 BG AL X 50 G + 600 APLIC (EMB HOSP), GOB
510413001112414, MIRACAL, MIRACAL, NOT FOUND, 500 MG COM REV CT FR PLAS OPC X 60, GOB
510407002161414, MIZONOL, MIZONOL, NOT FOUND, 20 MG/G CR DERM CT 60 BG X 28G (EMB HOSP), GOB
510407001165416, MIZONOL, MIZONOL, NOT FOUND, 20MG/G CR DERM CT 01 BG X 28 G, GOB
510406402131115, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP) , GOB
