510409902161417, BEBEX ADE, BEBEX ADE, NOT FOUND, 150 MG/G + 5.000 UI/G + 900 UI/G POM DERM CX X 60 BG AL X 45 G, GOB
510409401160418, BEBEX N, BEBEX N, NOT FOUND, 200 MG/G + 100000 UI/G POM DERM CT BG AL X 60 G, GOB
510408502168416, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CT 60 BG X 45G (EMB HOSP), GOB
510409102163415, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G, GOB
510409103161416, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CX 60 BG AL X 30 G (EMB HOSP), GOB
510409101167417, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G +0.64 MG/G +2.5 MG/G CREM DERM CT BG AL X 30 G, GOB
510409902161417, BEBEX ADE, BEBEX ADE, NOT FOUND, 150 MG/G + 5.000 UI/G + 900 UI/G POM DERM CX X 60 BG AL X 45 G, GOB
510409401160418, BEBEX N, BEBEX N, NOT FOUND, 200 MG/G + 100000 UI/G POM DERM CT BG AL X 60 G, GOB
510408502168416, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CT 60 BG X 45G (EMB HOSP), GOB
510409102163415, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G, GOB
510409103161416, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CX 60 BG AL X 30 G (EMB HOSP), GOB
510409101167417, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G +0.64 MG/G +2.5 MG/G CREM DERM CT BG AL X 30 G, GOB
510409902161417, BEBEX ADE, BEBEX ADE, NOT FOUND, 150 MG/G + 5.000 UI/G + 900 UI/G POM DERM CX X 60 BG AL X 45 G, GOB
510409401160418, BEBEX N, BEBEX N, NOT FOUND, 200 MG/G + 100000 UI/G POM DERM CT BG AL X 60 G, GOB
510408502168416, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CT 60 BG X 45G (EMB HOSP), GOB
510409102163415, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G, GOB
510409103161416, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CX 60 BG AL X 30 G (EMB HOSP), GOB
510409101167417, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G +0.64 MG/G +2.5 MG/G CREM DERM CT BG AL X 30 G, GOB
510409902161417, BEBEX ADE, BEBEX ADE, NOT FOUND, 150 MG/G + 5.000 UI/G + 900 UI/G POM DERM CX X 60 BG AL X 45 G, GOB
510409401160418, BEBEX N, BEBEX N, NOT FOUND, 200 MG/G + 100000 UI/G POM DERM CT BG AL X 60 G, GOB
510409402167416, BEBEX N, BEBEX N, NOT FOUND, 200 MG/G + 100000 UI/G POM DERM CX 60 BG AL X 60G (EMB HOSP), GOB
510408502168416, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CT 60 BG X 45G (EMB HOSP), GOB
510409102163415, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G, GOB
510409103161416, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CX 60 BG AL X 30 G (EMB HOSP), GOB
510409101167417, BETRICORT, BETRICORT, NOT FOUND, 20 MG/G +0.64 MG/G +2.5 MG/G CREM DERM CT BG AL X 30 G, GOB
510413402133412, BRONTEK, BRONTEK, NOT FOUND, 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510413401137414, BRONTEK, BRONTEK, NOT FOUND, 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510409902161417, BEBEX ADE, BEBEX ADE, NOT FOUND, 150 MG/G + 5.000 UI/G + 900 UI/G POM DERM CX X 60 BG AL X 45 G, GOB
510409401160418, BEBEX N, BEBEX N, NOT FOUND, 200 MG/G + 100000 UI/G POM DERM CT BG AL X 60 G, GOB
510409402167416, BEBEX N, BEBEX N, NOT FOUND, 200 MG/G + 100000 UI/G POM DERM CX 60 BG AL X 60G (EMB HOSP), GOB
