534201501151413, TECNOCARB, TECNOCARB, NOT FOUND, 150 MG PO LIOF INJ CT FA VD AMB X 25 ML, ZD1
534201502158411, TECNOCARB, TECNOCARB, NOT FOUND, 450 MG PO LIOF INJ CT FA VD AMB X 50 ML, ZD1
534202002159417, TECNOPLATIN, TECNOPLATIN, NOT FOUND, 0.5 MG/ML SOL INJ CX FA VD AMB X 100 ML (USO HOSP.), ZD1
534202001152419, TECNOPLATIN, TECNOPLATIN, NOT FOUND, 0.5MG/ML  SOL INJ CX FA  VD AMB X 20 ML (USO HOSP.), ZD1
534202102110411, TECNOTAX, TECNOTAX, NOT FOUND, 20 MG COM CT BL AL PLAS OPC X 30, ZD1
534203401154417, TECNOMAX, TECNOMAX, NOT FOUND, 10 MG PO LIOF CT FA VD INC REST HOSP, ZD1
534203402150415, TECNOMAX, TECNOMAX, NOT FOUND, 50 MG PO LIOF CT FA VD INC REST HOSP, ZD1
534202201151416, TECNOTECAN, TECNOTECAN, NOT FOUND, 20 MG/ML SOL INJ CT FA VD AMB X 2 ML (REST. HOSP.), ZD1
534202202158414, TECNOTECAN, TECNOTECAN, NOT FOUND, 20 MG/ML SOL INJ CT FA VD AMB X 5 ML (REST. HOSP.), ZD1
534202901110410, TAMSULON, TAMSULON, NOT FOUND, 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 20, ZD1
534202902117419, TAMSULON, TAMSULON, NOT FOUND, 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 30, ZD1
534202302152418, TECNOVORIN, TECNOVORIN, NOT FOUND, 50 MG PO LIOF INJ CT FA VD AMB + AMP DIL VD INC X 5 ML, ZD1
534201801112413, TECNOMET, TECNOMET, NOT FOUND, 2.5 MG COM CT 2 BL AL PLAS AMB X 10, ZD1
534201901151410, TECNOMICINA, TECNOMICINA, NOT FOUND, 15 U PO LIOF INJ CX AMP VD INC + AMP DIL X 10 ML, ZD1
534201601156417, TECNOCRIS, TECNOCRIS, NOT FOUND, 1 MG/ML SOL INJ CT FA VD INC X 1 ML (EMB HOSP) , ZD1
534204301153311, TRISENOX, TRISENOX, NOT FOUND, 1 MG/ML SOL INJ IV CT 10 AMP VD INC X 10 ML, ZD1
