534201101110418, OXYCONTIN, OXYCONTIN, NOT FOUND, 10 MG COM REV LIB CONTR CT FR PLAS OPC X 100 (EMB HOSP), ZD1
534201102117416, OXYCONTIN, OXYCONTIN, NOT FOUND, 10 MG COM REV LIB CONTR CT FR PLAS OPC X 12, ZD1
534201103113414, OXYCONTIN, OXYCONTIN, NOT FOUND, 10 MG COM REV LIB CONTR CT FR PLAS OPC X 30, ZD1
534201104111415, OXYCONTIN, OXYCONTIN, NOT FOUND, 20 MG COM REV LIB CONTR CT FR PLAS OPC X 100 (EMB HOSP), ZD1
534201106112419, OXYCONTIN, OXYCONTIN, NOT FOUND, 20 MG COM REV LIB CONTR CT FR PLAS OPC X 12, ZD1
534201105116410, OXYCONTIN, OXYCONTIN, NOT FOUND, 20 MG COM REV LIB CONTR CT FR PLAS OPC X 30, ZD1
534201107119417, OXYCONTIN, OXYCONTIN, NOT FOUND, 40 MG COM REV LIB CONTR CT FR PLAS OPC X 100 (EMB HOSP), ZD1
534201109111316, OXYCONTIN, OXYCONTIN, NOT FOUND, 40 MG COM REV LIB CONTR CT FR PLAS OPC X 12, ZD1
534201108115415, OXYCONTIN, OXYCONTIN, NOT FOUND, 40 MG COM REV LIB CONTR CT FR PLAS OPC X 30, ZD1
534200901156414, ONCOTECAN, ONCOTECAN, NOT FOUND, 4 MG PO LIOF INJ CT FA VD INC X 10 ML (REST HOSP), ZD1
534203902153413, ONCODOCEL, ONCODOCEL, NOT FOUND, 20 MG SOL INJ CT FA VD INC X 0.5 ML + FA DIL X 1.5 ML, ZD1
534203901157415, ONCODOCEL, ONCODOCEL, NOT FOUND, 80 MG SOL INJ CT FA VD INC X 2.0 ML + FA DIL X 6 ML, ZD1
534213020009504, OSTEOTEC, OSTEOTEC, NOT FOUND, 150 MG COM REV CT BL AL/AL X 1, ZD1
534213020009603, OSTEOTEC, OSTEOTEC, NOT FOUND, 150 MG COM REV CT BL AL/AL X 2, ZD1
534201001159415, O-PLAT, O PLAT, NOT FOUND, 100 MG PO LIOF INJ CT FA VD AMB, ZD1
534201002155413, O-PLAT, O PLAT, NOT FOUND, 50 MG PO LIOF INJ CT FA VD AMB, ZD1
