534214050010403, ELIGARD, ELIGARD, NOT FOUND, 7.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS TRANS SER B + AGU DISP SEGUR + DESSEC + BL AL PLAS TRANS DIL SER A + EMB + DESSEC, ZD1
534214050010503, ELIGARD, ELIGARD, NOT FOUND, 22.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS TRANS SER B + AGU DISP SEGUR + DESSEC + BL AL PLAS TRANS DIL SER A + EMB + DESSEC, ZD1
534214090010603, ELIGARD, ELIGARD, NOT FOUND, 7.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS TRANS SER B + AGU DISP SEGUR + DESSEC + BL AL PLAS TRANS DIL SER A + EMB + DESSEC , ZD1
534214090010703, ELIGARD, ELIGARD, NOT FOUND, 22.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS TRANS SER B + AGU DISP SEGUR + DESSEC + BL AL PLAS TRANS DIL SER A + EMB + DESSEC , ZD1
534203802159411, ELIGARD, ELIGARD, NOT FOUND, 22.5 MG SUS INJ CT SACHE C/ SER B + SACHE C/ SER A DIL + AGULHA + DESSEC , ZD1
534203804151319, ELIGARD, ELIGARD, NOT FOUND, 22.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS INC SER B + AGU + SER A DIL + EMBOLO + 2 DESSEC, ZD1
534213080009803, ELIGARD, ELIGARD, NOT FOUND, 45 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS TRANS SER B + AGU DISP SEGUR + BL AL PLAS TRANS DIL SER A + EMB + 2 DESSEC, ZD1
534203801152411, ELIGARD, ELIGARD, NOT FOUND, 7.5 MG SUSP INJ CT SACHE C/ SER B + SACHE C/ SER A DIL + AGULHA + DESSEC , ZD1
534203803155418, ELIGARD, ELIGARD, NOT FOUND, 7.5 MG PO LIOF SUS INJ SC LIB PROL CT BL AL PLAS INC SER B + AGU + SER A DIL + EMBOLO + 2 DESSEC, ZD1
534203102114413, EVOCANIL, EVOCANIL, NOT FOUND, 100 MG CAP GEL MOLE CT BL AL PLAS INC X 30, ZD1
534203103110411, EVOCANIL, EVOCANIL, NOT FOUND, 100 MG CAP GEL MOLE CT BL AL PLAS INC X 60, ZD1
534203104117411, EVOCANIL, EVOCANIL, NOT FOUND, 200 MG CAP GEL MOLE CT BL AL PLAS INC X 20 , ZD1
