534213100010006; CABERGOLINA; CABERGOLINA; CABERGOLINA; 0.5 MG COM FR VD AMB CT X 2 ; ZD1
534213110010203; CABERTRIX; CABERTRIX; NOT FOUND; 0.5 MG COM CT FR VD AMB X 2; ZD1
534213100010106; CABERGOLINA; CABERGOLINA; CABERGOLINA; 0.5 MG COM FR VD AMB CT X 8; ZD1
534213110010303; CABERTRIX; CABERTRIX; NOT FOUND; 0.5 MG COM CT FR VD AMB X 8; ZD1
534200201154419; CARDIOXANE; CARDIOXANE; NOT FOUND; 500 MG PO LIOF INJ CT FA VD AMB (REST HOSP); ZD1
534203501116411; CONDROFLEX; CONDROFLEX; NOT FOUND; 1.5 + 1.2 G PO OR CT 15 SACH X 4.135 G; ZD1
534203503135314; CONDROFLEX; CONDROFLEX; NOT FOUND; 1.5 + 1.2 G PO OR CT 30 SACH X 4.135 G; ZD1
534203506134319; CONDROFLEX; CONDROFLEX; NOT FOUND; 1.5 G + 1.2 G PO OR CT 7 SACHES X 4.135 G; ZD1
534203502112418; CONDROFLEX; CONDROFLEX; NOT FOUND; 500 MG + 400 MG CAP GEL DURA CT BL AL PLAS INC X 20; ZD1
534203504115317; CONDROFLEX; CONDROFLEX; NOT FOUND; 500 MG + 400 MG CAP GEL DURA CT  BL AL PLAS INC X 40; ZD1
534203505111412; CONDROFLEX; CONDROFLEX; NOT FOUND; 500 MG + 400 MG CAP GEL DURA CT BL AL PLAS INC X 60; ZD1
