1068300670049; BAXTER SOLUÇÃO DE RINGER COM LACTATO; BAXTER SOLUCAO RINGER LACTATO; NOT FOUND; (6.0 + 0.3 + 0.2 + 3.1)MG/ML SOL INJ IV CX BOLS PVC INC SIST FECH X 500 ML; BAX
1068300670057; BAXTER SOLUÇÃO DE RINGER COM LACTATO; BAXTER SOLUCAO RINGER LACTATO; NOT FOUND; (6.0 + 0.3 + 0.2 + 3.1)MG/ML SOL INJ IV CX BOLS PVC INC SIST FECH X 1000 ML; BAX
1068300840033; BAXTER GLICINA; BAXTER GLICINA; NOT FOUND; 15 MG/ML SOL IRRIG UROL CX BOLS PVC X 3000 ML; BAX
1068300700185; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 50 ML; BAX
1068300700282; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 100 ML; BAX
1068300700347; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 1000 ML; BAX
1068300700320; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 250 ML; BAX
1068300700339; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 500 ML; BAX
1068300700312; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 1000 ML; BAX
1068300700290; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 250 ML; BAX
1068300700304; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 500 ML; BAX
1068300700355; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 500 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 1000 ML; BAX
