1068301580019; IMMUNINE; IMMUNINE; NOT FOUND; 200 UI PO LIOF INJ CT 1 FA VD INC + DIL FA X 5 ML + CONJ REC E INFUS ; BAX
1068301580027; IMMUNINE; IMMUNINE; NOT FOUND; 600 UI PO LIOF INJ CT 1 FA VD INC + DIL FA X 5 ML + CONJ REC E INFUS ; BAX
1068301580035; IMMUNINE; IMMUNINE; NOT FOUND; 1200 UI PO LIOF INJ CT 1 FA VD INC + DIL FA X 10 ML + CONJ REC E INFUS ; BAX
1068301600011; IMMUNNATE S/D; IMMUNNATE S D; NOT FOUND; 250 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS; BAX
1068301600028; IMMUNNATE S/D; IMMUNNATE S D; NOT FOUND; 500 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS; BAX
1068301600036; IMMUNNATE S/D; IMMUNNATE S D; NOT FOUND; 1000 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 10 ML + CONJ REC E INFUS; BAX
1068300890030; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 10% EMUL INJ CX 12 FR VD X 500 ML; BAX
1068301560018; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ FR VD INC X 100 ML ; BAX
1068301560042; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ FR VD INC X 1000 ML ; BAX
1068301560034; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ FR VD INC X 500 ML ; BAX
1068301560050; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ BOLS PLAS INC X 100 ML ; BAX
1068301560085; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ BOLS PLAS INC X 1000 ML ; BAX
1068301560069; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ BOLS PLAS INC X 250 ML ; BAX
1068301560077; IVELIP-EMULSÃO INJETÁVEL; IVELIP EMULSAO INJETAVEL; NOT FOUND; 20 PCC EMU INJ BOLS PLAS INC X 500 ML ; BAX
1068301130013; ISOTHANE; ISOTHANE; NOT FOUND; LIQ INAL CT 06 FR VD AMB X 100 ML (REST HOSP); BAX
