1068301810014; OLIMEL; OLIMEL; NOT FOUND; (6.3 + 18.75 + 15) G/L EMUL INJ IV BOLS PLAS INC FLEX X 1000 ML; BAX
1068301810022; OLIMEL; OLIMEL; NOT FOUND; (6.3 + 18.75 + 15) G/L EMUL INJ IV BOLS PLAS INC FLEX X 2000 ML; BAX
1068301810030; OLIMEL; OLIMEL; NOT FOUND; (8.2 + 28.75 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 1500 ML ; BAX
1068301810049; OLIMEL; OLIMEL; NOT FOUND; (8.2 + 28.75 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 2000 ML  ; BAX
1068301810057; OLIMEL; OLIMEL; NOT FOUND; (11.1 + 35 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 1000 ML ; BAX
1068301810065; OLIMEL; OLIMEL; NOT FOUND; (11.1 + 35 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 2000 ML ; BAX
1068301810073; OLIMEL; OLIMEL; NOT FOUND; (14.2 + 27.5 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 1000 ML  ; BAX
1068301810081; OLIMEL; OLIMEL; NOT FOUND; (14.2 + 27.5 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 2000 ML  ; BAX
1068301760017; OLICLINOMEL N8-800; OLICLINOMEL N8 800; NOT FOUND; 12.5 MG/ML SOL AA + 31.25 MG/ML SOL GLIC + 15 MG/ML EMUL LIP INJ IV BOLS PLAS INC TRIP X 2000 ML; BAX
1068301570013; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N4-550E-5.5%SOL A.A.20% SOL GLICOSE C/ CALCIO.10% EMU LIP INJ BOLS PLAS TRIPLA X 1000 ML; BAX
1068301570021; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N4-550E-5.5%SOL A.A.20% SOL GLICOSE C/ CALCIO.10% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
1068301570031; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N5-800E-7.0%SOL A.A.25% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
1068301570048; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N6-900E-8.5%SOL A.A.30% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 1500 ML; BAX
1068301570056; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N6-900E-8.5%SOL A.A.30% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
1068301570068; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N7-1000E-10%SOL A.A.40% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 1000 ML; BAX
1068301570077; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N7-1000E-10%SOL A.A.40% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
1068301570099; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N7-1000E-10%SOL A.A.40% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 2500 ML; BAX
1231231231238; OLICLINOMEL; OLICLINOMEL; NOT FOUND; 5.5% SOL AA. 20% SOL GLICOSE C/ CALCIO. 10% EMU LIP INJ BOLS PLAS TRIPLA X 1000 ML; BAX
1231231231237; OLICLINOMEL; OLICLINOMEL; NOT FOUND; 5.5% SOL AA. 20% SOL GLICOSE C/ CALCIO. 10% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
1231231231236; OLICLINOMEL; OLICLINOMEL; NOT FOUND; 7.0% SOL AA. 25% SOL GLICOSE C/ CALCIO. 20% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
1231231231235; OLICLINOMEL; OLICLINOMEL; NOT FOUND; 8.5% SOL AA. 30% SOL GLICOSE C/ CALCIO. 20% EMU LIP INJ BOLS PLAS TRIPLA X 1500 ML; BAX
1231231231234; OLICLINOMEL; OLICLINOMEL; NOT FOUND; 10% SOL AA. 40% SOL GLICOSE C/ CALCIO. 20% EMU LIP INJ BOLS PLAS TRIPLA X 1000 ML; BAX
1231231231233; OLICLINOMEL; OLICLINOMEL; NOT FOUND; 10% SOL AA. 40% SOL GLICOSE C/ CALCIO. 20% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
1231231231232; OLICLINOMEL; OLICLINOMEL; NOT FOUND; 10% SOL AA. 40% SOL GLICOSE C/ CALCIO. 20% EMU LIP INJ BOLS PLAS TRIPLA X 2500 ML; BAX
1231231231231; OLICLINOMEL; OLICLINOMEL; NOT FOUND; 8.5% SOL AA. 30% SOL GLICOSE C/ CALCIO. 20% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
