1068300740101; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 20 PCC SOL INJ CT FA X 50 ML + EQUIPO; BAX
1068300740136; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 25 PCC SOL INJ CT FA X 50 ML + EQUIPO; BAX
1068300740152; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 20 PCC SOL INJ BOLSA PLASTICA X 50 ML; BAX
1068300740160; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 20 PCC SOL INJ BOLSA PLASTICA X 100 ML; BAX
1068301620010; ALBUMINA HUMANA BAXTER AG; ALBUMINA HUMANA BAXTER AG; NOT FOUND; 20% SOL INJ CT 1 FA VD INC X 50 ML; BAX
1068300740179; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 20 PCC SOL INJ CX 24 BOLSA PLASTICA X 50 ML ; BAX
1068300740187; ALBUMINA SÉRICA HUMANA NORMAL; ALBUMINA SERICA HUMANA NORMAL; NOT FOUND; 20 PCC SOL INJ CX 12 BOLSA PLASTICA X 100 ML ; BAX
1068301590014; AT III BAXTER; AT III BAXTER; NOT FOUND; 500 UI PO LIOF INJ CT 1 FA VD INC + 1 DIL FA X 10 ML + CONJ REC E INFUS ; BAX
1068301590022; AT III BAXTER; AT III BAXTER; NOT FOUND; 1000 UI PO LIOF INJ CT 1 FA VD INC + 1 DIL FA X 20 ML + CONJ REC E INFUS; BAX
1068301740016; ADVATE; ADVATE; NOT FOUND; 250 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS ; BAX
1068301740032; ADVATE; ADVATE; NOT FOUND; 1000 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS ; BAX
1068301740040; ADVATE; ADVATE; NOT FOUND; 1500 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS; BAX
1068301740024; ADVATE; ADVATE; NOT FOUND; 500 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + CONJ REC E INFUS ; BAX
