1068301640011; TISSUCOL; TISSUCOL; NOT FOUND; KIT 3 FA VD INC PO LIOF + 2 FA DIL X 1 ML + SIST REC E APLIC ; BAX
1068301640021; TISSUCOL; TISSUCOL; NOT FOUND; KIT 3 FA VD INC PO LIOF + 2 FA DIL X 2 ML + SIST REC E APLIC; BAX
1068301640038; TISSUCOL; TISSUCOL; NOT FOUND; KIT 3 FA VD INC PO LIOF + 2 FA DIL X 5 ML + SIST REC E APLIC  ; BAX
1068301640046; TISSUCOL; TISSUCOL; NOT FOUND; KIT 2 FA VD INC PO LIOF + 2 FA DIL X 1 ML + SIST REC E APLIC  ; BAX
1068301640054; TISSUCOL; TISSUCOL; NOT FOUND; KIT 2 FA VD INC PO LIOF + 2 FA DIL X 2 ML + SIST REC E APLIC  ; BAX
1068301640062; TISSUCOL; TISSUCOL; NOT FOUND; KIT 2 FA VD INC PO LIOF + 2 FA DIL X 5 ML + SIST REC E APLIC  ; BAX
1068301640097; TISSUCOL TISSEL DUO; TISSUCOL TISSEL DUO; NOT FOUND; SOL TOP CT SER PREENCH X 10 ML + SIST APLIC ; BAX
1068301640089; TISSUCOL TISSEL DUO; TISSUCOL TISSEL DUO; NOT FOUND; SOL TOP CT SER PREENCH X 4 ML + SIST APLIC ; BAX
1068301640070; TISSUCOL TISSEL DUO; TISSUCOL TISSEL DUO; NOT FOUND; SOL TOP CT SER PREENCH X 2 ML + SIST APLIC ; BAX
1068300910015; TRAVAD; TRAVAD; NOT FOUND; 16 G/ML + 6 G/ML CX BOLS PLAS X 133 ML; BAX
1068300680389; TRAVASOL; TRAVASOL; NOT FOUND; 10% S/ELETROLITO C/SERINA SOL INJ UMA BOLSA PLASTICA VIAFLEX X 2000 ML (SOL AMINOA 10% S/ ELET); BAX
1068300680177; TRAVASOL; TRAVASOL; NOT FOUND; SOL INJ CX 24 BOLSA PLAS X 500ML (SOL AMINOA 10% S/ ELET); BAX
