1068300760013; SOLUCAO DE RINGER BAXTER; SOLUCAO RINGER BAXTER; NOT FOUND; SOL INJ CX BOLS PLAS INC PVC SIST FECHADO X 500 ML; BAX
1068300760031; SOLUCAO DE RINGER BAXTER; SOLUCAO RINGER BAXTER; NOT FOUND; SOL INJ CX BOLS PLAS INC PVC SIST FECH X 500 ML ; BAX
1068300670022; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; (6 + 0.3 + 0.2 + 3.1) MG/ML SOL INJ UMA BOLSA PLASTICA INC. X 1000 ML; BAX
1068300670014; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; (6 + 0.3 + 0.2 + 3.1) MG/ML SOL INJ UMA BOLSA PLASTICA INC. X 500 ML; BAX
1068300690068; SOL. ESTERIL CLORETO SÓDIO; SOL ESTERIL CLORETO SODIO; NOT FOUND; 0.9% SOL INJ UMA BOLSA PLASTICA INC. VIAFLEX X 1000 ML; BAX
1068300660069; SOL.GLICOSE 5% E CLORETO DE SÓDIO 0,9%; SOL GLICOSE 5 E CLORETO SODIO 0 9; NOT FOUND; 5 PCC + 0.9 PCC SOL INJ CX BOLSA PLAS INC VIAFLEX X 1000 ML; BAX
1068300660050; SOL.GLICOSE 5% E CLORETO DE SÓDIO 0,9%; SOL GLICOSE 5 E CLORETO SODIO 0 9; NOT FOUND; 5 PCC + 0.9 PCC SOL INJ CX BOLSA PLAS INC VIAFLEX X 500 ML; BAX
1068300660175; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 1000 ML; BAX
1068300660167; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 50MG/ML + 9.0MG/ML SOL INJ IV BOLS PLAS PVC INC SIST FECH X 500 ML; BAX
1068300700241; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 700 MG/ML SOL INJ CX BOLS PLAS INC X 2000 ML; BAX
1068300700074; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% SOL INJ UMA BOLSA PLASTICA VIAFLEX X 1000 ML; BAX
1068300700231; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% SOL INJ UMA BOLSA PLASTICA VIAFLEX X 250 ML; BAX
1068300700058; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% SOL INJ UMA BOLSA PLASTICA VIAFLEX X 500 ML; BAX
1068300700215; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% SOL INJ UMA BOLSA PLASTICA VIAFLEX X 100 ML; BAX
1068300700041; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% SOL INJ UMA BOLSA PLASTICA VIAFLEX X 1000 ML; BAX
1068300700023; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 250 ML; BAX
1068300700031; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% SOL INJ UMA BOLSA PLASTICA VIAFLEX X 500 ML; BAX
1068300700147; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50% SOL INJ UMA BOLSA PLASTICA VIAFLEX X 1000 ML; BAX
1068300900011; SOLUCAO MANITOL; SOLUCAO MANITOL; NOT FOUND; 200 MG/ML SOL INJ CX BOLS PLAS INC X 250 ML; BAX
