1068300640147; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 1.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2000 ML BAIXO TEOR DE CA; BAX
1068300640181; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 4.25 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2000 ML BAIXO TEOR DE CA; BAX
1068300640281; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 1.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2500 ML BAIXO TEOR DE CA; BAX
1068300640387; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 4.25 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2500 ML BAIXO TEOR DE CA; BAX
1068300640147; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 1.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2000 ML BAIXO TEOR DE CA; BAX
1068300640492; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 2.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2000 ML BAIXO TEOR DE CA; BAX
1068300640181; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 4.25 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2000 ML BAIXO TEOR DE CA; BAX
1068300640301; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; (15+5.38+4.48+0.183+0.0508) MG/ML SOL DIAL PERI CX BOLS PLAS INC FLEX X 6000 ML; BAX
1068300640492; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 2.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2000 ML BAIXO TEOR DE CA; BAX
1068300640352; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; (25+5.38+4.48+0.183+0.0508) MG/ML SOL DIAL PERI CX BOLS PLAS INC FLEX X 6000 ML; BAX
1068300640409; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 4.25 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 6000 ML BAIXO TEOR DE CA; BAX
1068300640336; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 2.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2500 ML BAIXO TEOR DE CA; BAX
1068300640155; DIANEAL PD-2 BAIXO TEOR DE CÁLCIO; DIANEAL PD 2 BAIXO TEOR CALCIO; NOT FOUND; 1.5% SOL DIAL PERI UMA BOLSA PLASTICA FLEXIVEL X 5000 ML BAIXO TEOR CA; BAX
1068300640476; DIANEAL PD-2 BAIXO TEOR DE CÁLCIO; DIANEAL PD 2 BAIXO TEOR CALCIO; NOT FOUND; 2.5% SOL DIAL PERI UMA BOLSA PLASTICA FLEX X 5000 ML BAIXO TEOR CA; BAX
1068300640198; DIANEAL PD-2 BAIXO TEOR DE CÁLCIO; DIANEAL PD 2 BAIXO TEOR CALCIO; NOT FOUND; 4.25% SOL DIAL PERI UMA BOLSA PLASTICA FLEX X 5000 ML BAIXO TEOR CA; BAX
1068300640417; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; (15+5.38+4.48+0.257+0.0508) MG/ML SOL DIAL PERI CX BOLS PLAS INC FLEX X 5000 ML; BAX
