1037005130012; MATERSUPRE; MATERSUPRE; NOT FOUND; COM REV CT FR PLAS OPC X 30; TTB
1037003990014; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML; TTB
1037003990057; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; TTB
1037002200028; MUCOXOLAN; MUCOXOLAN; NOT FOUND; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; TTB
1037002200036; MUCOXOLAN; MUCOXOLAN; NOT FOUND; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; TTB
1037002200079; MUCOXOLAN; MUCOXOLAN; NOT FOUND; 3 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; TTB
1037002200095; MUCOXOLAN; MUCOXOLAN; NOT FOUND; 6 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; TTB
1037002700055; MICOSIL; MICOSIL; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; TTB
1037002360033; METACIDIL; METACIDIL; NOT FOUND; CAPS 25MG CX C/30; TTB
1037002360025; METACIDIL; METACIDIL; NOT FOUND; CAPS 50MG CX C/30; TTB
1037002290019; MEVALIP; MEVALIP; NOT FOUND; 20MG COM CT BL AL PLAS X 30; TTB
1037003090031; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + 50 CP MED 10 ML (EMB. HOSP.); TTB
1037003090013; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED 10 ML; TTB
1037003090056; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED   ; TTB
1037003090080; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED  (EMB HOSP) ; TTB
1037005420071; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10MG/G CREM DERM CT BG AL X 30G; TTB
1037004420076; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT 3 ENV AL X 10 ; TTB
1037004420084; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CX 10 ENV AL X 10 (EMB HOSP); TTB
1037004420122; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT 3 ENV AL X 10 ; TTB
1037004420025; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT 3 ENV AL X 10 ; TTB
1037004420221; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30; TTB
1037004420270; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; TTB
1037004420173; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30; TTB
1037004930015; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML; TTB
1037004930023; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5.0 ML (EMB HOSP); TTB
1037003010011; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED; TTB
1037003010028; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 100 FR VD AMB X 30 ML + 100 CP MED (EMB HOSP); TTB
1037003020015; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 6; TTB
1037003020031; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); TTB
1037005300104; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS PVDC 250/120 TRANS X 10; TTB
1037002570046; MEVAMOX; MEVAMOX; NOT FOUND; 7.5 MG COM CT BL AL PLAS PVDC 250/120 TRANS X 10; TTB
1037002570011; MEVAMOX; MEVAMOX; NOT FOUND; COMP 7.5MG CX C/10; TTB
1037002570021; MEVAMOX; MEVAMOX; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 10; TTB
1037005300031; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PVDC INC X 10; TTB
1037005350047; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 30; TTB
1037003030029; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT 50 BG AL X 50 G (EMB HOSP); TTB
1037003030010; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G; TTB
1037002410030; MICOZEN; MICOZEN; NOT FOUND; 2 PCC LOC CT FR PLAS OPC X 30 ML; TTB
1037002410014; MICOZEN; MICOZEN; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 80 G + APLIC GINEC; TTB
1037002410057; MICOZEN; MICOZEN; NOT FOUND; 20 MG/G CREM VAG CT 50 BG AL X 80 G (EMB HOSP); TTB
1037006080027; MONTELUCASTE DE SODIO; MONTELUCASTE SODIO; MONTELUCASTE SODIO; 10 MG COM REV CT BL AL/AL X 10; TTB
1037006080043; MONTELUCASTE DE SODIO; MONTELUCASTE SODIO; MONTELUCASTE SODIO; 10 MG COM REV CT BL AL/AL X 30; TTB
1037004000018; MICADEN; MICADEN; NOT FOUND; 10 MG/G CREM VAG CT BG AL X 40 G C/7 APLIC DESCART; TTB
1037003280020; MATERSUPRE; MATERSUPRE; NOT FOUND; COM REV CT FR PLAS OPC X 30; TTB
