1037001500036; SEDILAX; SEDILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 30; TTB
1037001500028; SEDILAX; SEDILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 200 (EMB HOSP); TTB
1037001500052; SEDILAX; SEDILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 15; TTB
1037001500044; SEDILAX; SEDILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 4; TTB
1037001790115; SEDALEX; SEDALEX; NOT FOUND; 300 MG/ML + 50 MG/ML + 35 MG/ML SOL OR CT FR GOT VD AMB X 20 ML; TTB
1037001790204; SEDALEX; SEDALEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS OPC X 30; TTB
1037001790212; SEDALEX; SEDALEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS OPC X 200; TTB
1037001790220; SEDALEX; SEDALEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS OPC X 240; TTB
1037001790026; SEDALEX; SEDALEX; NOT FOUND; 35 MG + 300 MG + 50 MG/ML SOL OR CT FR PLAS OPC X 15 ML; TTB
1037001790034; SEDALEX; SEDALEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT 50 BL AL PLAS INC X 4; TTB
1037001790069; SEDALEX; SEDALEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 240; TTB
1037001790077; SEDALEX; SEDALEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 30; TTB
1037004800073; SEDALGINA; SEDALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAS TRANS X 60; TTB
1037004800030; SEDALGINA; SEDALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAST INC X 30; TTB
1037004800022; SEDALGINA; SEDALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAST INC X 20; TTB
1037004800057; SEDALGINA; SEDALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAST INC X 200 (EMB MULT); TTB
1037002390021; SOROLIV; SOROLIV; NOT FOUND; 9 MG/ML + 0.1 MG/ML SOL NAS CT FR PLAS OPC + NEB X 30 ML ; TTB
1037002390031; SOROLIV; SOROLIV; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML  ; TTB
1037004740011; SOROLIV ADULTO; SOROLIV ADULTO; NOT FOUND; 0.5 MG/ML + 0.1 MG/ML + 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; TTB
1037005460012; SOROLIV HIPERTÔNICO; SOROLIV HIPERTONICO; NOT FOUND; 30 MG/ML SOL NAS CT FR PLAS AMB SPR X 60 ML; TTB
1037004910014; SIMETICONA + METILBROMETO DE HOMATROPINA; SIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 20 ML; TTB
1037002600018; STRESSAN; STRESSAN; NOT FOUND; COM REV CT FR PLAS OPC X 30; TTB
