1037003450028; NOGRIPE; NOGRIPE; NOT FOUND; 250 MG + 30 MG (VERDE) + 250 MG + 2 MG (LARANJA) DRG CT 25 BL AL PLAS INC X 2 VERDE + 2 LARANJA; TTB
1037003450036; NOGRIPE; NOGRIPE; NOT FOUND; 250 MG + 30 MG (VERDE) + 250 MG + 2 MG (LARANJA) DRG CT 25 BL AL PLAS INC X 3 VERDE + 3 LARANJA; TTB
1037003450079; NOGRIPE; NOGRIPE; NOT FOUND; 250 MG + 30 MG (VERDE) + 250 MG + 2 MG (LARANJA) DRG CT 2 BL AL PLAS INC X 5 VERDE + 5 LARANJA; TTB
1037003490089; NORTRIP; NORTRIP; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 300 (EMB HOSP); TTB
1037003490161; NORTRIP; NORTRIP; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 300 (EMB HOSP); TTB
1037003490127; NORTRIP; NORTRIP; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 300 (EMB HOSP); TTB
1037003490054; NORTRIP; NORTRIP; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 20; TTB
1037003490194; NORTRIP; NORTRIP; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 20; TTB
1037003490097; NORTRIP; NORTRIP; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 20; TTB
1037005190015; NOLIPO; NOLIPO; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS TRANS X 10 ; TTB
1037005190023; NOLIPO; NOLIPO; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS TRANS X 30; TTB
1037000340048; NEOCINOLON; NEOCINOLON; NOT FOUND; POM BISN X 20 G; TTB
1037003040016; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/ML LOC CT FR PLAS OPC X 30 ML; TTB
1037003040032; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/ML LOC CX 50 FR PLAS OPC X 30 ML(EMB HOSP); TTB
1037002960014; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG AL X 80 G + 16 APLIC VAG; TTB
1037002030122; NAPROX; NAPROX; NOT FOUND; 250 MG COM CT BL AL PLAS LARANJA X 20; TTB
1037002030157; NAPROX; NAPROX; NOT FOUND; 500 MG COM CT BL AL PLAS LARANJA X 20; TTB
1037004460027; NAPROXENO; NAPROXENO; NAPROXENO; 250 MG COM CT BL AL PLAS LAR X 15; TTB
1037004460140; NAPROXENO; NAPROXENO; NAPROXENO; 500 MG COM CT BL AL PLAS LAR X 20; TTB
1037004460086; NAPROXENO; NAPROXENO; NAPROXENO; 250 MG COM CX BL AL PLAS LAR X 100 (EMB HOSP); TTB
1037005150021; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CX 50 FR PLAS OPC GOT X 15 ML (EMB HOSP); TTB
1037002640036; NIMESULIX; NIMESULIX; NOT FOUND; 10 MG/ML SUS OR CT FR VD AMB X 60 ML; TTB
1037002640044; NIMESULIX; NIMESULIX; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML ; TTB
1037005150013; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; TTB
1037002640011; NIMESULIX; NIMESULIX; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12 ; TTB
1037004820015; NISTATINA; NISTATINA; NISTATINA; 100.000 UI SUS OR CT FR VD AMB X 50 ML; TTB
1037004820023; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CX 50 FR VD AMB X 50 ML (EMB HOSP); TTB
1037003050011; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + APLIC; TTB
1037003050038; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CX 50 BG AL X 60 G + 50 APLIC (EMB HOSP); TTB
1037005580042; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000UI/G + 200MG/G POM DERM CT BG AL X 60G; TTB
1037003040040; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/ML LOC CX 100 FR PLAS OPC X 30 ML(EMB HOSP); TTB
1037005790012; NITROFURANTOINA; NITROFURANTOINA; NITROFURANTOINA; 100MG CAP GEL DURA CT BL AL PLAS INC X 28 ; TTB
1037005790039; NITROFURANTOINA; NITROFURANTOINA; NITROFURANTOINA; 100MG CAP GEL DURA CT BL AL PLAS INC X 280 (EMB HOSP); TTB
1037004430012; NITROFEN; NITROFEN; NOT FOUND; 100 MG CAP GEL DURA CT  BL AL PLAS INC X 24; TTB
1037004430020; NITROFEN; NITROFEN; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 28; TTB
1037004830029; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS INC X 14; TTB
