1037001060052; ISORBID; ISORBID; NOT FOUND; COMP 10 MG CX C/ 24; TTB
1037001060044; ISORBID; ISORBID; NOT FOUND; COMP 5 MG 3BL X 20; TTB
1037001060028; ISORBID; ISORBID; NOT FOUND; COMP SUBLINGUAL 5MG-CX. C/24; TTB
1037001060036; ISORBID; ISORBID; NOT FOUND; COMP SUBLINGUAL 5MG-CX. C/60; TTB
1037005700013; INSONOX; INSONOX; NOT FOUND; 10 MG COM REV CT BL AL PVC INC X 10; TTB
1037005700021; INSONOX; INSONOX; NOT FOUND; 10 MG COM REV CT BL AL PVC INC X 20; TTB
1037000760204; IBUPRIL; IBUPRIL; NOT FOUND; 50 MG/ML SUS OR CT FR GOT PLAS X 30 ML ; TTB
1037005390030; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50MG/ML SUS OR CX 50 FR GOT PLAS OPC X 30 ML (EMB HOSP); TTB
1037005390014; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50MG/ML SUS OR CT FR GOT PLAS OPC X 30 ML; TTB
1037000760019; IBUPRIL; IBUPRIL; NOT FOUND; 300 MG COM CT 2 BL AL PLAS INC X 10; TTB
1037000760027; IBUPRIL; IBUPRIL; NOT FOUND; 600 MG COM CT BL AL PLAS INC X 20; TTB
1037000760042; IBUPRIL; IBUPRIL; NOT FOUND; 600 MG COM CT 50 BL AL PLAS X 10 (EMB HOSP); TTB
1037000760131; IBUPRIL; IBUPRIL; NOT FOUND; 600 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); TTB
1037000760107; IBUPRIL; IBUPRIL; NOT FOUND; 600 MG COM CT BL AL PLAS AMB X 20 ; TTB
1037000760158; IBUPRIL; IBUPRIL; NOT FOUND; 300 MG COM CT BL AL PLAS AMB X 20  ; TTB
1037000760166; IBUPRIL; IBUPRIL; NOT FOUND; 300 MG COM CT BL AL PLAS AMB X 100 (EMB FRAC); TTB
1037000760344; IBUPRIL; IBUPRIL; NOT FOUND; 400 MG CAP GELAT MOLE CT BL AL PLAS INC X 10; TTB
1037000760360; IBUPRIL; IBUPRIL; NOT FOUND; 400 MG CAP GELAT MOLE CT BL AL PLAS INC X 36 (EMB MULT); TTB
1037000760247; IBUPRIL; IBUPRIL; NOT FOUND; 400 MG COM REV CT BL AL PLAS TRANS X 10; TTB
1037005510028; IBUPROFENO; IBUPROFENO; IBUPROFENO; 400 MG COM REV CT BL AL PLAS INC X 10; TTB
