1037005400052; LANSOPRAZOL + CLARITROMICINA + AMOXICILINA; LANSOPRAZOL CLARITROMICINA AMOXICILINA; NOT FOUND; 30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + 14 + 28; TTB
1037005400011; LANSOPRAZOL + CLARITROMICINA + AMOXICILINA; LANSOPRAZOL CLARITROMICINA AMOXICILINA; NOT FOUND;  30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS INC X 14 + 14 + 28; TTB
1037005590031; LIPTHAL; LIPTHAL; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; TTB
1037005590102; LIPTHAL; LIPTHAL; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; TTB
1037005590048; LIPTHAL; LIPTHAL; NOT FOUND; 10 MG COM REV CT BL AL/AL X 60; TTB
1037005590110; LIPTHAL; LIPTHAL; NOT FOUND; 20 MG COM REV CT BL AL/AL X 60; TTB
1037003260024; LESTAMIL; LESTAMIL; NOT FOUND; 2 MG/5 ML + 0.25MG/5 ML XPE CT FR VD AMB X 120 ML; TTB
1037003260032; LESTAMIL; LESTAMIL; NOT FOUND; 2 MG/5 ML + 0.25MG/5 ML XPE CT FR PET AMB X 120 ML + COP MED; TTB
1037003260016; LESTAMIL; LESTAMIL; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS INC X 15; TTB
1037000720067; LEXIN; LEXIN; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML + 50 COP MED (EMB HOSP) ; TTB
1037000720032; LEXIN; LEXIN; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 60 ML + COP MED ; TTB
1037000720040; LEXIN; LEXIN; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP MED ; TTB
1037000720011; LEXIN; LEXIN; NOT FOUND; COMP 500MG CX C/10; TTB
1037002150012; LOSPORIN; LOSPORIN; NOT FOUND; 1G PO SOL INJ CT FR AMP VD AMB + AMP DIL X 4ML; TTB
1037000920031; LOZAN; LOZAN; NOT FOUND; 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML; TTB
1037000920042; LOZAN; LOZAN; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30 G; TTB
1037000920015; LOZAN; LOZAN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; TTB
1037000920023; LOZAN; LOZAN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 30; TTB
1037003200013; LABIGERON; LABIGERON; NOT FOUND; COMP. 25 MG - CX. C/ 30; TTB
1037003200021; LABIGERON; LABIGERON; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; TTB
1037001750016; LINCOMYN; LINCOMYN; NOT FOUND; SOL INJ 600MG/ML C/1AMP; TTB
1037003320019; LOPERIN; LOPERIN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 12; TTB
1037003320027; LOPERIN; LOPERIN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); TTB
1037001140013; LIDOCAINA + EPINEFRINA; LIDOCAINA EPINEFRINA; NOT FOUND; SOL INJ 1% CX C/12 FR/AMP X 20ML; TTB
1037003310013; LISONOTEC; LISONOTEC; NOT FOUND; COMP. 20 MG-12.5 MG - CX. C/ 30; TTB
1037005470034; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 100 MG COM CT BL AL PVC INC X 60; TTB
1037005470026; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 100 MG COM CT BL AL PVC INC X 30; TTB
1037005470085; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 100 MG COM CT BL AL PVC/PVDC INC X 30; TTB
1037005500081; LAMOCTRIL; LAMOCTRIL; NOT FOUND; 100 MG COM CT BL AL PVC/PVDC INC X 30; TTB
1037001630029; LANOGASTRO; LANOGASTRO; NOT FOUND; 30 MG CAP GELAT DURA C/MICGRAN LIB RETARD CT BL AL PLAS INC X 7; TTB
1037001630010; LANOGASTRO; LANOGASTRO; NOT FOUND; 30 MG CAP GELAT DURA C/MICGRAN LIB RETARD CT BL AL PLAS INC X 14; TTB
1037001630045; LANOGASTRO; LANOGASTRO; NOT FOUND; 30 MG CAP GEL DURA MCGRAN LIB RETARD CT BL AL PLAS INC X 28; TTB
1037002190014; LIDOCALM; LIDOCALM; NOT FOUND; 20MG/ML GEL TOP CT BG AL X 30G; TTB
1037003910061; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 30; TTB
1037003910101; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 30; TTB
1037003910029; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 30; TTB
1037002560032; LORADINE; LORADINE; NOT FOUND; 1.0MG/ML XPE CT FR VD AMB X 100ML + CP MED; TTB
1037005250026; LORATADINA; LORATADINA; LORATADINA; 1.00 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; TTB
1037002560016; LORADINE; LORADINE; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 12; TTB
1037004850054; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR PET AMB X 60ML + COP MED ; TTB
1037004850011; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED; TTB
1037004940045; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
