1037005630031; DILABRONCO; DILABRONCO; NOT FOUND; 10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED; TTB
1037005630066; DILABRONCO; DILABRONCO; NOT FOUND; 5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED; TTB
1037000170039; DEXADOZE; DEXADOZE; NOT FOUND; 4 MG/ML SUS INJ CT 3 AMP VD INC X1 ML + 5 MG/2 ML + 100 MG/ 2 ML + 100 MG/ 2 ML SOL INJ CT 3 AMP VD INC X 2 ML; TTB
1037000170020; DEXADOZE; DEXADOZE; NOT FOUND; 4 MG/ML SUS INJ CT 3 AMP VD INC X1 ML + 1 MG/2 ML + 100 MG/ 2 ML + 100 MG/ 2 ML SOL INJ CT 3 AMP VD INC X 2 ML; TTB
1037000170059; DEXADOZE; DEXADOZE; NOT FOUND; 4 MG/ML SUSP INJ CT 60 AMP VD INC X 1 ML + 5 MG/2 ML + 100 MG/2 ML + 100 MG/2 ML SOL INJ CT 60 AMP VD INC X 2 ML (EMB HOSP); TTB
1037001270014; DIGESTIL; DIGESTIL; NOT FOUND; 4 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; TTB
1037001270022; DIGESTIL; DIGESTIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; TTB
1037001270073; DIGESTIL; DIGESTIL; NOT FOUND; 10 MG COM CT BL AL PLAS PVC BRANCO OPC X 20 ; TTB
1037002590012; DERMDRYL; DERMDRYL; NOT FOUND; 10 MG/ML + 80 MG/ML + 1 MG/ML LOC CT FR PLAS OPC X 120 ML; TTB
1037002590020; DERMDRYL; DERMDRYL; NOT FOUND; 80 MG/G + 10 MG/G + 1 MG/G CREM DERM CT BG PLAS OPC X 28 G; TTB
1037001850029; DEPRAMINA; DEPRAMINA; DEPRAMINA; SOL INJ 25MG/2ML CX C/05 AMP; TTB
1037001850053; DEPRAMINA; DEPRAMINA; DEPRAMINA; 25 MG COM REV CT BL AL PLAST INC X 20; TTB
1037001400015; DILACOR; DILACOR; NOT FOUND; COMP REV 80MG CX C/30; TTB
