1037001800013; FLUITOSS; FLUITOSS; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML; TTB
1037001800021; FLUITOSS; FLUITOSS; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML; TTB
1037001800056; FLUITOSS; FLUITOSS; NOT FOUND; 20 MG/ML XPE CT FR PLAS AMB X 100 ML + COP; TTB
1037001800048; FLUITOSS; FLUITOSS; NOT FOUND; 50 MG/ML XPE CT FR PLAS AMB X 100 ML + COP; TTB
1037000220013; FERROBEN; FERROBEN; NOT FOUND; SOL ORAL FR C/ 150ML; TTB
1037000800024; FENAFLAN; FENAFLAN; NOT FOUND; SOL INJ 25MG/ML CX C/03AMP X 3 ML; TTB
1037000800032; FENAFLAN; FENAFLAN; NOT FOUND; 15 MG/ML  SUS OR CT FR PLAS OPC GOT X 15 ML; TTB
1037002420011; FENAFLAN; FENAFLAN; NOT FOUND; 10 MG/G GEL CT BG AL X 60 G; TTB
1037000800016; FENAFLAN; FENAFLAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 10; TTB
1037000800117; FENAFLAN; FENAFLAN; NOT FOUND; 11.6 MG/G GEL CT BG AL X 30 G ; TTB
1037000800087; FENAFLAN D; FENAFLAN D; NOT FOUND; 50 MG COM DISP CT BL AL PLAS INC X 20; TTB
1037000800109; FENAFLAN D; FENAFLAN D; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; TTB
1037000700010; FLANAREN; FLANAREN; NOT FOUND; SOL INJ 75 MG/ ML CX C/ 5 AMP X 3 ML; TTB
1037000700041; FLANAREN; FLANAREN; NOT FOUND; SOL INJ 75MG/ML C/100AMP; TTB
1037000700031; FLANAREN; FLANAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; TTB
1037000700058; FLANAREN; FLANAREN; NOT FOUND; 50 MG COM REV CT 15 BL AL PLAS X 20 (EMB HOSP); TTB
1037001920035; FLEXTOSS; FLEXTOSS; NOT FOUND; 30 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; TTB
1037001920019; FLEXTOSS; FLEXTOSS; NOT FOUND; 3 MG/ML XPE CT FR VD AMB X 100 ML; TTB
1037001920027; FLEXTOSS; FLEXTOSS; NOT FOUND; 1.5 MG/ML XPE FR VD AMB X 60 ML; TTB
1037001920051; FLEXTOSS; FLEXTOSS; NOT FOUND; 1.5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP; TTB
1037001920043; FLEXTOSS; FLEXTOSS; NOT FOUND; 3 MG/ML XPE CT FR PLAS AMB X 100 ML + COP; TTB
1037001820022; FENITON; FENITON; NOT FOUND; 100 MG COM CT ENV KRAFT POLIET X 100 (EMB. HOSP); TTB
1037001820014; FENITON; FENITON; NOT FOUND; 100 MG COM CT 2 ENV KRAFT POLIET X 10; TTB
1037004730059; FENITOÍNA; FENITOINA; FENITOINA; 100 MG COM CT BL AL PLAS LAR X 100 (EMB HOSP); TTB
1037004730032; FENITOÍNA; FENITOINA; FENITOINA; 100 MG COM CT BL AL PLAS LAR X 30; TTB
1037005070044; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML SOL INJ CT 72 AMP VD INC X 5 ML (EMB HOSP); TTB
1037004810028; FENOBARBITAL; FENOBARBITAL; FENOBARBITAL; 100 MG COM CT BL AL PLAS INC X 30; TTB
1037004810036; FENOBARBITAL; FENOBARBITAL; FENOBARBITAL; 100 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
1037004530017; FENOXIMETILPENICILINA POTÁSSICA; FENOXIMETILPENICILINA POTASSICA; FENOXIMETILPENICILINA POTASSICA; 500000 UI COM CT ENV AL X 12; TTB
1037005920064; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL AL  X 30; TTB
1037005920072; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL AL  X 60; TTB
1037005410023; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS OPC X 30; TTB
1037005430024; FINARID; FINARID; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; TTB
1037003540019; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; TTB
1037003540035; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB FRAC); TTB
1037003540027; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; TTB
1037003540051; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); TTB
1037002870015; FOSFATO DISSODICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 2.0 MG /ML SOL INJ CT FA VD INC X 1 ML; TTB
1037002870023; FOSFATO DISSODICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4.0 MG/ML SOL INJ CT FA VD INC X 2.5 ML; TTB
1037002870112; FOSFATO DISSODICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4.0 MG/ML SOL INJ CT 6 AMP VD AMB X 2.5 ML; TTB
1037002870120; FOSFATO DISSODICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4.0 MG/ML SOL INJ CX 120 AMP VD AMB X 2.5 ML (EMB HOSP) ; TTB
1037002870058; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4.0 MG/ML SOL INJ CX 100 FA VD INC X 2.5 ML (EMB HOSP); TTB
1037005010051; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2MG/ML XPE CT FR PLAS AMB X 120ML + COP ; TTB
1037005010033; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; TTB
