1037000750063; HINCOMOX; HINCOMOX; NOT FOUND; 50 MG/ML PO PREP EXTEMP SUS OR CT FR VD AMB X 60 ML; TTB
1037000750055; HINCOMOX; HINCOMOX; NOT FOUND; SUSP 125MG/5ML 45ML; TTB
1037000750071; HINCOMOX; HINCOMOX; NOT FOUND; 50 MG/ML PO PREP EXTEMP SUS OR CT 50 FR VD AMB X 60 ML (EMB HOSP); TTB
1037000750111; HINCOMOX; HINCOMOX; NOT FOUND; 50 MG/ML PO PREP EXTEMP SUS OR CT FR VD AMB X 150 ML + COP MED; TTB
1037000750012; HINCOMOX; HINCOMOX; NOT FOUND; CAPS 250MG C/12; TTB
1037000750081; HINCOMOX; HINCOMOX; NOT FOUND; CAPS 500MG CX C/300; TTB
1037000750047; HINCOMOX; HINCOMOX; NOT FOUND; CAPS 500MG C/12; TTB
1037000280030; HIOSPAN COMPOSTO; HIOSPAN COMPOSTO; NOT FOUND; 4 MG/ML + 500 MG/ML SOL INJ CT 3 AMP VD AMB X 5 ML; TTB
1037000280059; HIOSPAN COMPOSTO; HIOSPAN COMPOSTO; NOT FOUND; 4.0 MG/ML + 500 MG/ML SOL INJ CT 100 AMP VD AMB X 5 ML ( EMB HOSP) ; TTB
1037000280014; HIOSPAN COMPOSTO; HIOSPAN COMPOSTO; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; TTB
1037000280040; HIOSPAN COMPOSTO; HIOSPAN COMPOSTO; NOT FOUND; 10 MG + 250 MG DRG CT 2 BL AL PLAS OPC X 10; TTB
1037000830011; HIPODERME; HIPODERME; NOT FOUND; 5.000 UI + 900 UI + 150 MG/G POM DERM CT BG AL X 45 G; TTB
1037000830156; HIPODERME; HIPODERME; NOT FOUND; 5000 UI + 900 UI + 150 MG/G POM DERM CT BG AL X 90 G; TTB
1037000280022; HIOSPAN; HIOSPAN; NOT FOUND; 20 MG/ML SOL INJ CT 6 AMP VD AMB X 1 ML; TTB
1037001240018; HORMONIOL; HORMONIOL; NOT FOUND; 1 MG/G CREM VAG CT BG AL X 50 G + APLIC; TTB
1037001260051; HALOPER; HALOPER; NOT FOUND; 5 MG/ML SOL INJ CT 25 AMP VD INC X 1 ML; TTB
1037003900015; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML; TTB
1037003900023; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP) ; TTB
1037003900041; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG/ML SOL INJ CT 60 AMP VD AMB X 1 ML (EMB HOSP) ; TTB
1037001260061; HALOPER; HALOPER; NOT FOUND; 5 MG/ML SOL INJ CT 25 AMP VD AMB X 1 ML (EMB HOSP); TTB
1037001260043; HALOPER; HALOPER; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS GOT X 20 ML; TTB
1037001260019; HALOPER; HALOPER; NOT FOUND; 1 MG COM CT 2 BL AL PLAS INC X 10; TTB
1037001260027; HALOPER; HALOPER; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; TTB
1037001260035; HALOPER; HALOPER; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 100 (EMB. HOSP.); TTB
1037005730011; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PVC INC X 10 ; TTB
1037005730028; HEMITARTARATO DE ZOLPIDEM; HEMITARTARATO ZOLPIDEM; HEMITARTARATO ZOLPIDEM; 10 MG COM REV CT BL AL PVC INC X 20; TTB
1037006090057; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS INC X 30; TTB
1037006090049; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS INC X 300 (EMB HOSP) ; TTB
1037006090073; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS INC X 30; TTB
1037001670020; HELMIZOL; HELMIZOL; NOT FOUND; 5 MG/ML SOL INJ BOLS PLAS X 100 ML; TTB
1037000710028; HELMIZOL; HELMIZOL; NOT FOUND; SUSP ORAL 4% CX C/50 FR X 80ML; TTB
1037000710025; HELMIZOL; HELMIZOL; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 80 ML + CP MED; TTB
1037000710096; HELMIZOL; HELMIZOL; NOT FOUND; 500 MG/ 5MG GEL VAG CT BG AL X 50G; TTB
1037000710017; HELMIZOL; HELMIZOL; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 20 ; TTB
1037000710033; HELMIZOL; HELMIZOL; NOT FOUND; COMP 500MG CX C/20; TTB
1037000710045; HELMIZOL; HELMIZOL; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); TTB
1037000710118; HELMIZOL; HELMIZOL; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 24; TTB
1037005560041; HIPODERTRAT; HIPODERTRAT; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60; TTB
