1037006030021; OSTRAT; OSTRAT; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 4; TTB
1037003600038; OXIFRIN; OXIFRIN; NOT FOUND; 0.25 MG/ML SOL NAS CT FR OPC GOT X 20 ML; TTB
1037003600021; OXIFRIN; OXIFRIN; NOT FOUND; 0.5 MG/ML SOL SPR NAS CT FR PLAS OPC X 30 ML; TTB
1037003840012; OFLOXACINO; OFLOXACINO; OFLOXACINO; 40 MG / ML INJ. C/ 01 FR AMP 10 ML; TTB
1037003570090; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT FR PLAS OPC X 56; TTB
1037003570015; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA CT FR PLAS OPC X 14; TTB
1037003570031; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; TTB
1037003570041; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT FR PLAS OPC X 28; TTB
1037003570023; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT FR PLAS OPC X 7; TTB
1037002820085; OXACILINA SODICA; OXACILINA SODICA; NOT FOUND; 500 MG PO P/ SOL INJ CX 50 FA VD INC (EMB HOSP); TTB
1037002820042; OXACILINA SÓDICA; OXACILINA SODICA; NOT FOUND; 500 MG PO P/ SOL INJ CX 50 FA VD INC + 50  DIL AMP VD INC X 5 ML (EMB HOSP); TTB
