1037002730019; CELESTAN; CELESTAN; NOT FOUND; SOL INJ 4 MG/ML CX. C/ 1AMP.; TTB
1037002730027; CELESTAN; CELESTAN; NOT FOUND; SOL INJ 4 MG/ML CX. C/ 25AMP.; TTB
1037001860016; CAPRIL; CAPRIL; NOT FOUND; COMP 12.5MG CX C/15; TTB
1037001860024; CAPRIL; CAPRIL; NOT FOUND; COMP 12.5MG CX C/30; TTB
1037001860199; CAPRIL; CAPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 15; TTB
1037001860202; CAPRIL; CAPRIL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 15; TTB
1037001860210; CAPRIL; CAPRIL; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 15; TTB
1037001860148; CAPRIL; CAPRIL; NOT FOUND; 25 MG COM CT 20 BL AL PLAS INC X 15 (EMB HOSP); TTB
1037004520348; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS TRANS X 60; TTB
1037004520356; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS TRANS X 60; TTB
1037004520364; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 60; TTB
1037004520194; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
1037004520291; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAST INC X 30; TTB
1037004520070; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; TTB
1037004520186; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; TTB
1037001250017; CARMAZIN; CARMAZIN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; TTB
1037001250021; CARMAZIN; CARMAZIN; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 20; TTB
1037004720010; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20; TTB
1037004720053; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 20 ; TTB
1037004720088; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); TTB
1037004720096; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); TTB
1037004720118; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); TTB
1037004720134; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); TTB
1037002370012; CARBIDOL; CARBIDOL; NOT FOUND; 25 MG + 250 MG COM CT BL AL PLAS INC X 30; TTB
1037002370020; CARBIDOL; CARBIDOL; NOT FOUND; 25 MG + 250 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); TTB
1037003970056; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; TTB
1037003970013; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; TTB
1037005370048; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PVDC INC X 8; TTB
1037005380043; CEFANAXIL; CEFANAXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PVDC INC X 8; TTB
1037005090045; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML PO P/ SUS OR CX 50 FR VD AMB X 60 ML + 50 CP MED (EMB HOSP); TTB
1037005090029; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + CP MED; TTB
1037003820011; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM CT BL AL PLAS INC X 8 ; TTB
1037003820021; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM CT BL AL PLAS INC X 40; TTB
1037003820070; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM CT BL AL PLAS INC X 10; TTB
1037003820046; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM CT BL AL PLAS INC X 80 (EMB HOSP); TTB
1037003820062; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP) ; TTB
1037002980041; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO SOL INJ CX 50 FA VD TRANS + 50 DIL AMP FR PLAS X 4ML (EMB HOSP); TTB
1037000970039; CEFALOT; CEFALOT; NOT FOUND; PO P/ SOL INJ 1G CX C/01 FR/AMP; TTB
1037000970047; CEFALOT; CEFALOT; NOT FOUND; PO P/ SOL INJ 1G CX C/50 FR/AMP; TTB
1037002980015; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO SOL INJ CT FA VD INC + DIL AMP VD INC X 4 ML; TTB
1037002980023; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO SOL INJ CX 50 FA VD INC + 50 DIL AMP VD INC X 4 ML (EMB HOSP); TTB
1037001460018; CEFNAX; CEFNAX; NOT FOUND; CAPS 400MG CX C/5; TTB
1037001810019; CEFTEN; CEFTEN; NOT FOUND; 1G PO SOL INJ FR AMP VD AMB + AMP DIL X 10ML; TTB
1037005980032; CELECOXIBE; CELECOXIBE; CELECOXIBE; 100 MG CAP DURA CT BL AL PLAS TRANS X 20; TTB
1037005980091; CELECOXIBE; CELECOXIBE; CELECOXIBE; 200 MG CAP DURA CT BL AL PLAS TRANS X 10; TTB
1037005980105; CELECOXIBE; CELECOXIBE; CELECOXIBE; 200 MG CAP DURA CT BL AL PLAS TRANS X 15; TTB
1037005980121; CELECOXIBE; CELECOXIBE; CELECOXIBE; 200 MG CAP DURA CT BL AL PLAS TRANS X 30; TTB
1037004840016; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G SHAMP CT FR PLAS OPC X 100 ML ; TTB
1037002780016; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; TTB
1037003930011; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10; TTB
1037003930038; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CX BL AL PLAS INC X 100 (EMB HOSP); TTB
1037003930021; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 30; TTB
1037002460011; CETOCORT; CETOCORT; NOT FOUND; 20 MG + 0.5 MG/G CREM DERM CT BG AL X 30 G; TTB
1037002460021; CETOCORT; CETOCORT; NOT FOUND; 20 MG + 0.5 MG/G POM DERM CT BG AL X 30 G; TTB
1037004970017; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20MG/G + 0.5 MG/G CREM DERM CT BG AL X 30G ; TTB
1037004960011; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30G; TTB
1037004640051; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; TTB
1037004680051; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; TTB
1037005480013; CETOPROFENO; CETOPROFENO; CETOPROFENO; 20 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; TTB
1037005540016; CETOFENID; CETOFENID; NOT FOUND; 20 MG/ML SOL OR CT FR VD AMB CGT X 20 ML; TTB
1037005550021; CETOPROFENO; CETOPROFENO; CETOPROFENO; 25 MG/G GEL CT BG AL X 30G; TTB
1037005540083; CETOFENID; CETOFENID; NOT FOUND; 25 MG/G GEL CT BG AL X 30 G; TTB
1037002850014; CIMETIDINA; CIMETIDINA; CIMETIDINA; 150 MG/ML SOL INJ CT 6 AMP VD INC X 2 ML; TTB
1037002850022; CIMETIDINA; CIMETIDINA; CIMETIDINA; 150 MG/ML SOL INJ CX 100 AMP VD INC X 2ML (EMB HOSP); TTB
1037002850030; CIMETIDINA; CIMETIDINA; CIMETIDINA; 150 MG/ML SOL INJ CX 120 AMP VD INC X 2 ML (EMB HOSP); TTB
1037004020043; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM CT  BL AL PLAS LAR X 100 (EMB HOSP); TTB
1037004020019; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM CT  BL AL PLAS LAR X 10; TTB
1037004020035; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM CT  BL AL PLAS LAR X 40; TTB
1037004020061; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM CT  BL AL PLAS LAR X 16; TTB
1037004020027; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM CT  BL AL PLAS LAR X 20; TTB
1037001440017; CIPROFLOX; CIPROFLOX; NOT FOUND; COMP REV 250MG CX C/06; TTB
1037001440025; CIPROFLOX; CIPROFLOX; NOT FOUND; COMP REV 250MG CX C/14; TTB
1037001440033; CIPROFLOX; CIPROFLOX; NOT FOUND; COMP REV 500MG CX C/06; TTB
1037001440041; CIPROFLOX; CIPROFLOX; NOT FOUND; COMP REV 500MG CX C/14; TTB
1037001490014; CIPRANE; CIPRANE; NOT FOUND; 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 EST CALEND; TTB
1037005610081; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 8; TTB
1037005610073; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 04; TTB
1037005610065; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 02; TTB
1037005610057; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 01; TTB
1037005530029; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR GOT VD AMB X 20 ML; TTB
1037001200024; CLONESINA; CLONESINA; NOT FOUND; COMP 0.15MG CX C/30; TTB
1037001200016; CLONESINA; CLONESINA; NOT FOUND; COMP 0.1MG CX C/30; TTB
1037001200032; CLONESINA; CLONESINA; NOT FOUND; COMP 0.20MG CX C/30; TTB
1037000140021; CLORAFENIL; CLORAFENIL; NOT FOUND; 0.5 PCC SOL OFT CT FR PLAS GOT X 8 ML; TTB
1037000140021; CLORANFENIL; CLORANFENIL; NOT FOUND; 0.4% FR C/ 8 ML; TTB
1037000140012; CLORAFENIL; CLORAFENIL; NOT FOUND; 250 MG CAP GEL DURA CT 25 ENV AL PLAS X 4; TTB
