1037005210067; BACITRACINA ZÍNCICA + SULFATO DE NEOMICINA; BACITRACINA ZINCICA SULFATO NEOMICINA; NOT FOUND; 5MG/G + 250 UI/G POM DERM CX 50 BG AL X 15 G (EMB HOSP); TTB
1037005210040; BACITRACINA ZÍNCICA + SULFATO DE NEOMICINA; BACITRACINA ZINCICA SULFATO NEOMICINA; NOT FOUND; 5MG/G + 250 UI/G POM DERM CT BG AL X 50 G; TTB
1037005210024; BACITRACINA ZÍNCICA + SULFATO DE NEOMICINA; BACITRACINA ZINCICA SULFATO NEOMICINA; NOT FOUND; 5MG/G + 250 UI/G POM DERM CT BG AL X 15 G; TTB
1037001110017; BACLOFEN; BACLOFEN; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; TTB
1037002090011; BRONTOSS; BRONTOSS; NOT FOUND; XPE FR C/ 100 ML; TTB
1037000990031; BENZECILIN; BENZECILIN; NOT FOUND; PO SOL INJ 10.000.000UI CX C/25 FR; TTB
1037000990013; BENZECILIN; BENZECILIN; NOT FOUND; PO SOL INJ 1000.000UI CX C/25 FR; TTB
1037000990021; BENZECILIN; BENZECILIN; NOT FOUND; PO SOL INJ 5000.000UI CX C/25 FR; TTB
1037001000025; BEPEBEN; BEPEBEN; NOT FOUND; 1.200.000 UI PO SUS INJ CT 50 FA + DIL X 4 ML (EMB HOSP); TTB
1037001000017; BEPEBEN; BEPEBEN; NOT FOUND; 600.000 UI PO SUS INJ CT 50 FA + DIL X 4 ML (EMB HOSP); TTB
1037001000092; BEPEBEN; BEPEBEN; NOT FOUND; 1.200.000 UI PO SUS INJ CX 50 FA (EMB HOSP); TTB
1037001000051; BEPEBEN; BEPEBEN; NOT FOUND; 600.000 UI PO SUS INJ CX 50 FA (EMB HOSP); TTB
1037001580013; BENZAPEN G; BENZAPEN G; NOT FOUND; 300.000 UI + 100.000 UI PO LIOF SUS INJ CTFA VD INC  + AMP DIL X 2 ML; TTB
1037001580064; BENZAPEN G; BENZAPEN G; NOT FOUND; 100.000 UI + 300.000 UI PO INJ CT 50 FA (EMB HOSP); TTB
1037001580031; BENZAPEN G; BENZAPEN G; NOT FOUND; 300.000 UI + 100.000 UI PO SUS INJ CT 50 FA VD INC + 50 AMP DIL X 2 ML (EMB HOSP); TTB
