1037002720031; TEUTOVIT E; TEUTOVIT E; NOT FOUND; 400 MG CAP GEL MOLE CT FR PLAS OPC X 30; TTB
1037005440021; TEUFRON; TEUFRON; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 30; TTB
1037005440143; TEUFRON; TEUFRON; NOT FOUND; 2.0 MG COM CT BL AL PLAS INC X 30; TTB
1037005440089; TEUFRON; TEUFRON; NOT FOUND; 1.0 MG COM CT BL AL PLAS INC X 30; TTB
1037002510019; TEUTOMICIN; TEUTOMICIN; NOT FOUND; 5MG/G + 250 UI POM DERM CT BG AL X 10G; TTB
1037003480091; TRIAXON; TRIAXON; NOT FOUND; 1 G IV PO INJ CT FA VD INC + DIL X 10 ML; TTB
1037003480075; TRIAXON; TRIAXON; NOT FOUND; 500 MG IV PO INJ CT FA VD INC + DIL X 5 ML; TTB
1037003480172; TRIAXON; TRIAXON; NOT FOUND; 1 G IV PO INJ CT 50 FA VD INC (EMB HOSP); TTB
1037003480059; TRIAXON; TRIAXON; NOT FOUND; 1G IM PO INJ CT FA VD INC + DIL X 3.5 ML; TTB
1037003480131; TRIAXON; TRIAXON; NOT FOUND; 500 MG IV PO INJ CT 50 FA VD INC (EMB HOSP); TTB
1037003480067; TRIAXON; TRIAXON; NOT FOUND; 1G IM PO INJ CX 50 FA + DIL; TTB
1037003480016; TRIAXON; TRIAXON; NOT FOUND; 250 MG IM PO INJ CT FA + DIL; TTB
1037003480032; TRIAXON; TRIAXON; NOT FOUND; 500 MG IM PO INJ CT  FA + DIL; TTB
1037000730038; TAGALIV; TAGALIV; NOT FOUND; SOL INJ 150MG/ML C/100AMP; TTB
1037000730021; TAGALIV; TAGALIV; NOT FOUND; SOL INJ 150MG/ML CX C/06AMP; TTB
1037000730011; TAGALIV; TAGALIV; NOT FOUND; COMP 200 MG CX C/ 40; TTB
1037000730046; TAGALIV; TAGALIV; NOT FOUND; COMP 400MG CX C/16; TTB
1037005690085; TEUCIPROX; TEUCIPROX; NOT FOUND; 500 MG COM REV CT BL AL PVDC INC X 14; TTB
1037005690042; TEUCIPROX; TEUCIPROX; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 14; TTB
1037005690026; TEUCIPROX; TEUCIPROX; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 7; TTB
1037002180019; TEUTOFORMIN; TEUTOFORMIN; NOT FOUND; 850 MG COM CT BL AL PLAS INC X 30 ; TTB
1037002180035; TEUTOFORMIN; TEUTOFORMIN; NOT FOUND; 850 MG COM CT  BL AL PAS INC X 150 (EMB HOSP)  ; TTB
1037002180078; TEUTOFORMIN; TEUTOFORMIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 30; TTB
1037000100042; TETRACLIN; TETRACLIN; NOT FOUND; 250 MG CAP GEL DURA CT ENV AL POLIET X 100; TTB
1037000100034; TETRACLIN; TETRACLIN; NOT FOUND; 500 MG CAP GEL DURA CT ENV AL POLIET X 100; TTB
1037003390051; TRAMALIV; TRAMALIV; NOT FOUND; 100 MG/2ML SOL INJ CT AMP VD AMB X 6; TTB
1037003390033; TRAMALIV; TRAMALIV; NOT FOUND; 50 MG/ML SOL INJ CT AMP VD AMB X 6; TTB
1037003390033; TRAMALIV; TRAMALIV; NOT FOUND; 50 MG/ML SOL INJ AMP VD AMB CX C/06; TTB
1037003390017; TRAMALIV; TRAMALIV; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS X 10; TTB
1037005910026; TEUPANTOL; TEUPANTOL; NOT FOUND; 50 MG/G POM DERM CT BG AL REV EPOXI FENOLICO X 30G; TTB
1037002280013; TEUTOLAX; TEUTOLAX; NOT FOUND; COMP 100MG CX 100 BL X 4; TTB
1037003700024; TENOFTAL; TENOFTAL; NOT FOUND; 5 MG/ML SOL OFT CT FR PLAS OPC X 5 ML; TTB
1037005770011; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 40G + 7 APLIC ; TTB
1037001550017; TEUTOCILIN; TEUTOCILIN; NOT FOUND; PO P/ SOL INJ 500MG CX C/50 FR/AMP; TTB
1037000940032; TYLIDOL; TYLIDOL; NOT FOUND; 200 MG/ML SOL OR FR PLAS GOT X 15 ML; TTB
1037000940105; TYLIDOL; TYLIDOL; NOT FOUND; 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT); TTB
1037000940113; TYLIDOL; TYLIDOL; NOT FOUND; 500 MG COM CT BL AL PLAS TRANS X 200 (EMB MULT); TTB
1037000940075; TYLIDOL; TYLIDOL; NOT FOUND; 500 MG COM CT 4 BL AL PLAS INC X 5; TTB
1037000940083; TYLIDOL; TYLIDOL; NOT FOUND; 500 MG COM CT 40 BL AL PLAS INC X 5; TTB
1037000940067; TYLIDOL; TYLIDOL; NOT FOUND; 750 MG COM CX 50 BL AL PLAS LAR X 4; TTB
1037000940091; TYLIDOL; TYLIDOL; NOT FOUND; 750 MG COM CT BL AL PLAS LAR X 20; TTB
