1037005780025; PNEUMUCIL; PNEUMUCIL; NOT FOUND; 20MG/ML XPE CT FR VD AMB X 120ML + COP MED; TTB
1037005780076; PNEUMUCIL; PNEUMUCIL; NOT FOUND; 40MG/ML XPE CT FR VD AMB X 120ML + COP MED; TTB
1037003650043; PYLORITRAT; PYLORITRAT; NOT FOUND; 30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS INC X 14 + 14 + 28; TTB
1037003650035; PYLORITRAT; PYLORITRAT; NOT FOUND; 30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + 14 + 28; TTB
1037001030031; PLECOR; PLECOR; NOT FOUND; CAPS 500MG CX C/10; TTB
1037003170025; POLISENG; POLISENG; NOT FOUND; 29.63 MG CAP GELAT MOLE CT BL AL PLAS INC X 30; TTB
1037003170041; POLISENG; POLISENG; NOT FOUND; 29.63 MG CAP GELAT MOLE CT BL AL PLAS INC X 50; TTB
1037002340016; PREPTIN; PREPTIN; NOT FOUND; SOL ELX 0.4 MG/ML FR X 240ML; TTB
1037002650015; PSIU; PSIU; NOT FOUND; XPE FR C/ 100 ML; TTB
1037002160018; PROTANOL; PROTANOL; NOT FOUND; 25 MG COM CT BL AL PLAST INC X 20; TTB
1037002160026; PROTANOL; PROTANOL; NOT FOUND; 25 MG COM REV CT BL AL PLAST INC X 20; TTB
1037002260020; PARKINSOL; PARKINSOL; NOT FOUND; 5 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML; TTB
1037002260012; PARKINSOL; PARKINSOL; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 75 ; TTB
1037001770068; PROZEN; PROZEN; NOT FOUND; 20 MG/ML SOL OR CT FR GOT  PLAS OPC X 10 ML ; TTB
1037001770149; PROZEN; PROZEN; NOT FOUND; 20 MG/ML SOL OR CT FR GOT PLAS TRANSLUCIDO X 20 ML; TTB
1037001770017; PROZEN; PROZEN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 7; TTB
1037001770025; PROZEN; PROZEN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; TTB
1037001770033; PROZEN; PROZEN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; TTB
1037001770051; PROZEN; PROZEN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); TTB
1037002170048; PLAGEX; PLAGEX; NOT FOUND; SOL INJ 10MG/2ML CX C/100AMPX2ML; TTB
1037002170031; PLAGEX; PLAGEX; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS GOT OPC X 10 ML; TTB
1037002170013; PLAGEX; PLAGEX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; TTB
1037003590024; PAROX; PAROX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; TTB
1037003210027; PROFERGAN; PROFERGAN; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 20; TTB
1037002010024; PARKEXIN; PARKEXIN; NOT FOUND; 5 MG COM CT BL AL PVDC LEITOSO X 30; TTB
1037005340025; PLAVASC; PLAVASC; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 20; TTB
1037005340033; PLAVASC; PLAVASC; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 30; TTB
1037000740032; PIROGINA; PIROGINA; NOT FOUND; SOL INJ 500MG/MLC/100AMP 2ML; TTB
1037000740016; PIROGINA; PIROGINA; NOT FOUND; SOL ORAL GTS FR C/ 10 ML; TTB
1037000740024; PIROGINA; PIROGINA; NOT FOUND; COMP 500MG CX C/100; TTB
1037001220033; PENCILIN V; PENCILIN V; NOT FOUND; 500.000 UI COM CT ENV AL E POLIET X 12; TTB
1037001370035; PEPTGEL; PEPTGEL; NOT FOUND; SUSP ORAL FR X 150ML; TTB
1037001370019; PEPTGEL; PEPTGEL; NOT FOUND; COMP 300MG CX C/20; TTB
1037002000010; POLARYN; POLARYN; NOT FOUND; 0.4 MG/ML XPE CT FR VD AMB X 100 ML; TTB
1037002000071; POLARYN; POLARYN; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 30 G; TTB
1037002000029; POLARYN; POLARYN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20; TTB
1037001020069; PRESSOTEC; PRESSOTEC; NOT FOUND; 5 MG COM CT ENV AL POLIET X 30; TTB
1037001020085; PRESSOTEC; PRESSOTEC; NOT FOUND; 10 MG COM CT ENV AL POLIET X 30; TTB
1037001020107; PRESSOTEC; PRESSOTEC; NOT FOUND; 20 MG COM CT ENV AL POLIET X 30; TTB
1037001020131; PRESSOTEC; PRESSOTEC; NOT FOUND; 10 MG COM CT BL AL/AL X 30; TTB
