523401601162411, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC POM OFT BISN X 3.5 G, L3F
523401602177410, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC SOL OFT FR GTS X 5 ML, L3F
523401701167413, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC POM OFT BISN X 3.5G, L3F
523401702171414, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC SUSP OFT FR GTS X 5 ML, L3F
523401601162411, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC POM OFT BISN X 3.5 G, L3F
523401602177410, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC SOL OFT FR GTS X 5 ML, L3F
523401701167413, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC POM OFT BISN X 3.5G, L3F
523401702171414, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC SUSP OFT FR GTS X 5 ML, L3F
523401601162411, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC POM OFT BISN X 3.5 G, L3F
523401602177410, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC SOL OFT FR GTS X 5 ML, L3F
523401701167413, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC POM OFT BISN X 3.5G, L3F
523401702171414, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC SUSP OFT FR GTS X 5 ML, L3F
523401601162411, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC POM OFT BISN X 3.5 G, L3F
523401602177410, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC SOL OFT FR GTS X 5 ML, L3F
523401701167413, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC POM OFT BISN X 3.5G, L3F
523401702171414, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC SUSP OFT FR GTS X 5 ML, L3F
523401601162411, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC POM OFT BISN X 3.5 G, L3F
523401602177410, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC SOL OFT FR GTS X 5 ML, L3F
523401701167413, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC POM OFT BISN X 3.5G, L3F
523401702171414, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC SUSP OFT FR GTS X 5 ML, L3F
523401601162411, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC POM OFT BISN X 3.5 G, L3F
523401602177410, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC SOL OFT FR GTS X 5 ML, L3F
523401701167413, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC POM OFT BISN X 3.5G, L3F
523401702171414, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC SUSP OFT FR GTS X 5 ML, L3F
523401601162411, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC POM OFT BISN X 3.5 G, L3F
523401602177410, TOBRACIN, TOBRACIN, NOT FOUND, 0.3 PCC SOL OFT FR GTS X 5 ML, L3F
523401701167413, TOBRACIN-D, TOBRACIN D, NOT FOUND, 0.3 PCC+0.1 PCC POM OFT BISN X 3.5G, L3F
