267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267669; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 5 MG AMPOLA 1.00 ML; NO_ACR
267670; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 1 MG AMPOLA 1.00 ML; NO_ACR
267670; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 1 MG AMPOLA 1.00 ML; NO_ACR
267670; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 1 MG AMPOLA 1.00 ML; NO_ACR
268111; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 25 MG AMPOLA 1.00 ML; NO_ACR
268111; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 25 MG AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
268115; HIDRALAZINA; HIDRALAZINA; HIDRALAZINA; 20 MG/ML. SOLUCAO INJETAVEL AMPOLA 1.00 ML; NO_ACR
