278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
278265; 8-HIDROXIQUINOLINA BORATO; 8 HIDROXIQUINOLINA BORATO; NOT FOUND; ASSOCIADA COM TRIETANOLAMINA. 0.4MG + 140MG/ML. SOLUCAO OTOLOGICA FRASCO 8.00 ML; NO_ACR
