267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
267107; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR
