267187; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1%. SOLUCAO OFTALMICA AMPOLA 2.50 ML; NO_ACR
267187; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1%. SOLUCAO OFTALMICA AMPOLA 1.00 ML; NO_ACR
267187; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1%. SOLUCAO OFTALMICA AMPOLA 1.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
267194; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR
