268128; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 25 MG; NO_ACR; AMPOLA; 5.00 ML
268128; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 25 MG; NO_ACR; AMPOLA; 5.00 ML
268128; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 25 MG; NO_ACR; AMPOLA; 5.00 ML
268128; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 25 MG; NO_ACR; AMPOLA; 5.00 ML
268132; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 5.00 ML
268132; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 5.00 ML
268132; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 5.00 ML
268132; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 5.00 ML
268132; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 5.00 ML
268132; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 5.00 ML
268132; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 5.00 ML
268132; LEVOMEPROMAZINA; LEVOMEPROMAZINA; LEVOMEPROMAZINA; 5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 5.00 ML
