522238901117410; PROVERA; PROVERA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 14; PFZ
522238902113419; PROVERA; PROVERA; NOT FOUND; 2.5 MG COM CT BL AL PLAS INC X 14; PFZ
522238903111411; PROVERA; PROVERA; NOT FOUND; 5.0 MG COM CT BL AL PLAS INC X 14; PFZ
522238401157413; PLATAMINE CS; PLATAMINE CS; NOT FOUND; 10 MG/ML SOL INJ CT FA PLAS TRANS X 15 ML (REST HOSP); PFZ
522238402153411; PLATAMINE CS; PLATAMINE CS; NOT FOUND; 10 MG/ML SOL INJ CT FA PLAS TRANS X 45 ML (REST HOSP); PFZ
522238403151412; PLATAMINE CS; PLATAMINE CS; NOT FOUND; 10 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML (REST HOSP); PFZ
522212090054503; PLATISTINE CS; PLATISTINE CS; NOT FOUND; 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 10 ML (REST HOSP); PFZ
522238501151417; PLATISTINE CS; PLATISTINE CS; NOT FOUND; 1 MG/ML SOL INJ CT 5 FA PLAS TRANS X 10 ML (REST HOSP); PFZ
522238502158415; PLATISTINE CS; PLATISTINE CS; NOT FOUND; 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 100 ML (REST HOSP); PFZ
522238503154413; PLATISTINE CS; PLATISTINE CS; NOT FOUND; 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 50 ML (REST HOSP); PFZ
522212100054606; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 10; PFZ
522212100054706; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 14; PFZ
522212100054806; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 20; PFZ
522212100054906; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 28; PFZ
522212100055006; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 56; PFZ
522212100055106; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 10; PFZ
522212100055206; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 14; PFZ
522212100055306; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 20; PFZ
522212100055406; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 28; PFZ
522212100055506; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 56; PFZ
522238801112417; PROPIL; PROPIL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; PFZ
522238701118413; PROLIFT; PROLIFT; NOT FOUND; 4 MG COM CT BL AL PLAS OPC X 20; PFZ
522238601113411; PLETIL; PLETIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 4; PFZ
522238602111410; PLETIL; PLETIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 8; PFZ
522212050052503; PONSTAN; PONSTAN; NOT FOUND; 500 MG COM CT BL AL PLAS ROSA X 15; PFZ
522203201119310; PONSTAN; PONSTAN; NOT FOUND; 500 MG COM CT  BL AL PLAS AMB X 24; PFZ
522212050052603; PONSTAN; PONSTAN; NOT FOUND; 500 MG COM CT BL AL PLAS ROSA X 24; PFZ
522212050052403; PONSTAN; PONSTAN; NOT FOUND; 500 MG COM CT BL AL PLAS ROSA X 6 ; PFZ
