522204101118213; VIAGRA; VIAGRA; NOT FOUND; 100 MG COM REV CT  BL AL PLAS INC X 4 ; PFZ
522204102114211; VIAGRA; VIAGRA; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 4  ; PFZ
522204106111314; VIAGRA; VIAGRA; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 1; PFZ
522204104117218; VIAGRA; VIAGRA; NOT FOUND; 50 MG COM REV CT 2 BL AL PLAS INC X 1; PFZ
522204103110211; VIAGRA; VIAGRA; NOT FOUND; 50 MG COM REV CT  BL AL PLAS INC X 4; PFZ
522204105113410; VIAGRA; VIAGRA; NOT FOUND; 50 MG COM REV CT 2 BL AL PLAS INC X 4; PFZ
522204201112314; VIBRAMICINA; VIBRAMICINA; NOT FOUND; 100 MG DRG CT BL AL PLAS INC X 15; PFZ
522204202119312; VIBRAMICINA; VIBRAMICINA; NOT FOUND; 100 MG COM SOL CT BL AL PLAS INC X 20; PFZ
522204203115310; VIBRAMICINA; VIBRAMICINA; NOT FOUND; 100 MG DRG CT BL AL PLAS INC X 3; PFZ
522239801159411; VINCIZINA CS; VINCIZINA CS; NOT FOUND; 1 MG/ML SOL INJ CT 5 FA PLAS TRANS X 1 ML (REST HOSP); PFZ
522204002111210; VFEND; VFEND; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 14; PFZ
522204001156210; VFEND; VFEND; NOT FOUND; 200 MG PO LIOF SOL INJ INFUS IV CT 1 FA VD INC; PFZ
522204003116216; VFEND; VFEND; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X  14; PFZ
