1287600130014; PROPESS; PROPESS; NOT FOUND; 10 MG PES CT ENV AL POLIET X 1 ; FER
1287600130022; PROPESS; PROPESS; NOT FOUND; 10 MG PES CT ENV AL POLIET X 2; FER
1287600130030; PROPESS; PROPESS; NOT FOUND; 10 MG PES CT ENV AL POLIET X 5; FER
1287600020103; PENTASA; PENTASA; NOT FOUND; 1 G GRAN OR LIB PROL CT ENV AL/PE X 50; FER
1287600020111; PENTASA; PENTASA; NOT FOUND; 1 G GRAN OR LIB PROL CT ENV AL/PE X 100; FER
1287600020121; PENTASA; PENTASA; NOT FOUND; 2 G GRAN OR LIB PROL CT ENV AL/PE X 60 ; FER
1287600020057; PENTASA; PENTASA; NOT FOUND; 10 MG/ML ENEMA RETAL CT 7 FR PLAS OPC X 100 ML; FER
1287600020014; PENTASA; PENTASA; NOT FOUND; 1000 MG SUPOSIT RET CT 15 ENV ALX1+LUVA PROTECAO; FER
1287600020081; PENTASA; PENTASA; NOT FOUND; 1000 MG/SUP RET CT BL AL/AL X 15 + DEDEIRAS X 15; FER
1287600020091; PENTASA; PENTASA; NOT FOUND; 1000 MG/SUP RET CT BL AL/AL X 28 + DEDEIRAS X 28; FER
1287600020154; PENTASA; PENTASA; NOT FOUND; 1000 MG/SUP RET CT BL AL/AL X 15; FER
1287600020162; PENTASA; PENTASA; NOT FOUND; 1000 MG/SUP RET CT BL AL/AL X 28; FER
1287600020022; PENTASA; PENTASA; NOT FOUND; 500MG COM VER CT FR VD AMBX50; FER
1287600020065; PENTASA; PENTASA; NOT FOUND; 500 MG COM LIB PROL CT BL AL/AL X 50; FER
1287600020138; PENTASA; PENTASA; NOT FOUND; 2 G GRAN OR LIB PROL CT ENV AL/PE X 15; FER
1287600020146; PENTASA; PENTASA; NOT FOUND; 2 G GRAN OR LIB PROL CT ENV AL/PE X 30; FER
1287600020170; PENTASA; PENTASA; NOT FOUND; 1G COM LIB PROL OR CT BL AL/AL X 60; FER
1287600040023; PICOLAX; PICOLAX; NOT FOUND; 66 MCG/ML SOL EXT OR CT SACHX2; FER
1287600190017; PICOPREP; PICOPREP; NOT FOUND; 10MG + 3.5G + 12G PO PREP EXTEMP CT SACHE AL/PE X 2; FER
