1287600150041; DDAVP; DDAVP; NOT FOUND; 4 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML; FER
1287600150074; DDAVP; DDAVP; NOT FOUND; 15 MCG /ML SOL INJ CT 1 AMP VD INC X 1ML ; FER
1287600150104; DDAVP; DDAVP; NOT FOUND; 15 MCG /ML SOL INJ CT 1 AMP VD INC X 2ML ; FER
1287600150112; DDAVP; DDAVP; NOT FOUND; 15 MCG /ML SOL INJ CT 10 AMP VD INC X 2ML ; FER
1287600150090; DDAVP; DDAVP; NOT FOUND; 15 MCG /ML SOL INJ CT 10 AMP VD INC X 1ML (EMB FRAC); FER
1287600150120; DDAVP; DDAVP; NOT FOUND; 15 MCG /ML SOL INJ CT 10 AMP VD INC X 2ML  (EMB FRAC); FER
1287600150082; DDAVP; DDAVP; NOT FOUND; 15 MCG /ML SOL INJ CT 10 AMP VD INC X 1ML ; FER
1287600150066; DDAVP; DDAVP; NOT FOUND; 0.1 MG/ML SOL NAS CT FR VD AMB SPR 5.0 ML; FER
1287600150058; DDAVP; DDAVP; NOT FOUND; 0.1 MG/ML SOL NAS CT FR VD AMB SPR 2.5ML; FER
1287600150031; DDAVP; DDAVP; NOT FOUND; 0.1MG/ML SOL NAS CT FR VD AMB 2.5ML + 2 TUB; FER
1287600150015; DDAVP; DDAVP; NOT FOUND; 0.1 MG COM CT FR PLAS OPC X 30; FER
1287600150023; DDAVP; DDAVP; NOT FOUND; 0.2 MG COM CT FR PLAS OPC X 30; FER
1287600120019; DURATOCIN; DURATOCIN; NOT FOUND; 100 MCG/ ML SOL INJ CT 5 AMP VD INC X 1 ML; FER
1287600120019; DURATOCIN; DURATOCIN; NOT FOUND; 100 MCG/ ML SOL INJ CT 5 AMP VD INC X 1 ML; FER
