63208; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 16; RBY
63209; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 28; RBY
68889; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; RBY
68890; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 60; RBY
68891; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; RBY
57465; CEFACLOR MG ; CEFACLOR; CEFACLOR; CPR 500 MG x 10; RBY
58989; CEFACLOR MG ; CEFACLOR; CEFACLOR; CPR 750 MG x 10; RBY
57471; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 20; RBY
60284; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; RBY
61555; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; SUSP ORAL 500 MG 100 ML x 1 (/5ML); RBY
77010; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 10; RBY
58365; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 20; RBY
62568; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 200; RBY
58364; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 8; RBY
70198; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; CREME 30 G x 1; RBY
70199; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; POM. 30 G x 1; RBY
70196; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; CREME 30 G x 1; RBY
70197; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; POM. 30 G x 1; RBY
59179; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; RBY
59180; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 30; RBY
63927; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; CPR REVEST 100 MG x 20; RBY
72457; CINARIZINA MG ; CINARIZINA; CINARIZINA; CPR 25 MG x 100; RBY
