60949, ACECLOFENACO MG , ACECLOFENACO, ACECLOFENACO, CPR REVEST 100 MG x 12, RBY
61331, ACECLOFENACO MG , ACECLOFENACO, ACECLOFENACO, CPR REVEST 100 MG x 24, RBY
57572, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 200 MG x 10, RBY
57573, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 200 MG x 25, RBY
57574, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 400 MG x 10, RBY
57575, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 400 MG x 25, RBY
62418, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 100 (/125), RBY
57442, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18 (/125), RBY
57441, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 6 (/125), RBY
71813, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 875 MG x 12 (/125), RBY
71814, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 875 MG x 14 (/125), RBY
78563, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 875 MG x 20 (/125), RBY
58900, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 125 MG 75 ML x 1 (/5M, RBY
64834, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 400 MG 70 ML x 1 (/5M, RBY
57584, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, SUSP 250 MG 75 ML x 1 (/5ML), RBY
61484, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 200, RBY
58902, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, RBY
78564, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 30, RBY
57445, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 6, RBY
57447, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, SUSP 250 MG 150 ML x 1 (/5ML), RBY
68883, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 30, RBY
65410, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 28, RBY
68881, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 30, RBY
64482, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 28, RBY
68882, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 30, RBY
58347, AXETIL CEFUROXI.MG , AXETIL CEFUROXI, NOT FOUND, CPR REVEST 250 MG x 10, RBY
58348, AXETIL CEFUROXI.MG , AXETIL CEFUROXI, NOT FOUND, CPR REVEST 500 MG x 10, RBY
58906, AXETIL CEFUROXI.MG , AXETIL CEFUROXI, NOT FOUND, PO P/SUSP 250 MG 50 ML x 1 (/5M, RBY
78565, AXETIL CEFUROXI.MG , AXETIL CEFUROXI, NOT FOUND, PO P/SUSP 250 MG 70 ML x 1 (/5M, RBY
61938, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 2, RBY
61937, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 3, RBY
63205, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, PO P/SUSP 600 MG 15 ML x 1, RBY
